tweet,time
"My @BRS_Academy Ss raised over $100 for the families in Paradise, CA effected by the #CampFire. My Ss not only have a big mind but also a big heart. We are thinking of you in this time of need.  TY @MsYorksClass ",2018-11-17 23:55:33
"@PFA809 @simsimsala @IAFFNewsDesk Scott, only if you ignore the fact that the ""Camp"" fire started in the Plumas National Forest! I'll repeat that so you can see the words ""National Forest""...Plumas National Forest! @POTUS didn't say SoCal, he said in California!!!",2018-11-17 23:55:21
Many wildfire survivors too busy seeking help to watch Trump ,2018-11-17 23:55:18
"#campfire #charitystream is happening now. Please come stop by. If you can donate, do, if you can’t, just being here for a few minutes is enough, or liking this photo or retweet my tweet. Donate here  @TheTwitchBakery ",2018-11-17 23:55:14
PVPHS Panthers looking for leadership opportunities? Make your own. Lead the way. Thousands of displaced families in So Cal and NorCal. ,2018-11-17 23:55:01
Cowboy 911 has been awesome!#CampFireJamesWoods #CampFire #CampFirePets #Paradise #ParadiseFires #ParadiseStrong #CaliforniaFires #CaliforniaWildFires #CAFires #ButteCounty #ButteCountyFire #ButteCountyStrong #Chico ,2018-11-17 23:54:55
"#CaseyGerrySD is proud to stand w/retired Chico Police Chief Kirk Trostle &amp; his wife Patricia Garrison in their efforts to hold PG&amp;E accountable for #CampFire. “No community should have to go through this again,” Trostle said to #ChicoER.  #andreabyik",2018-11-17 23:54:49
How Californians Are Breathing in the ‘New Abnormal’ of Epic Fires ,2018-11-17 23:54:47
#CampFire Evacuation Order Reduced to Warning 11.17.18 ,2018-11-17 23:54:35
"Trump: ""We've got to take care of the floors, you know the floors of the forest, very important.""In addition to: insecurity, ignorance, arrogance &amp; oral sadism, don't discount dementia. It's much worse. Trump will be spoon fed before 2020. Believe me. ",2018-11-17 23:54:20
Good friends.  Good times.  #camping #campfire @ Eagle Ridge Cabins ,2018-11-17 23:54:17
Number of missing in Camp Fire jumps to 631 #NBC  ,2018-11-17 23:53:59
@andylassner Science is interesting... ,2018-11-17 23:53:47
ppl have situational depression here last thing need is a hag women bitchin bout something. usually a women sometimes guys  camp fire,2018-11-17 23:53:36
@Hogan80Hogan @TheContemptor Amazed anyone around Trump has any hair left! #CalFire #CampFire #CaliforniaFires #CaliforniaWildfires #Finland,2018-11-17 23:53:30
"This is AWE-INSPIRING! (@ToyotaUSA has the perfect response!) Nurse Posts How His Toyota Looks After He Saves Many Lives From Fire, Toyota Responds  via @boredpanda",2018-11-17 23:53:19
'He can kiss my red ass': California fire evacuees give Trump visit short shrift ,2018-11-17 23:53:15
"SF animal shelter trying to reunite pets, owners displaced by Camp … – SFGate ",2018-11-17 23:53:04
"@WhiteHouse @realDonaldTrump When asked about the president’s visit to the area, Kirk Ellsworth, whose adult children lost their homes in the fire, shook his head in disgust.“My kids lost everything. I voted for him – and now? He can kiss my red ass,” ",2018-11-17 23:52:45
This Bloomberg article is terrible. Instead read this @marketwatch article on how you can help those impacted by #campfire  ,2018-11-17 23:52:38
"@GlobalEcoGuy A proeminent Climate ScientistMakes a Prophecy""Smoke and ‘Fire and Fury the World Has Never Seen’""Declares a Miraculous solution""Forest management""Both The Prophet and The Believers are ignorant of the causes that amplified #CampFire#Paradisefire #WoolseyFire Armageddon",2018-11-17 23:52:36
".@go2MissionSC and @CanadaCollege will reopen on Monday. Here's our full, updated list on the schools impacted by poor air quality in the Bay Area: ",2018-11-17 23:52:29
"""The Pacific Gas and Electric Company (PG&amp;E) said it could be responsible for the #California fire and had exhausted its revolving line of credit to pay for a fire-related liability."": #CaliforniaWildfires #CaliforniaFires ☠️",2018-11-17 23:52:21
 The new Trump slogan - MAKE AMERICA RAKE AGAIN!  #CampFire #CampFireSmoke #CaliforniaFires #makeamericarakeagain ,2018-11-17 23:52:16
"PG&amp;E says if found responsible for Camp Fire, cost would exceed insurance coverage  via @abc7newsbayarea",2018-11-17 23:52:15
"A proeminent Climate ScientistMakes a Prophecy""Smoke and ‘Fire and Fury the World Has Never Seen’""Declares a Miraculous solution""Forest management""Both The Prophet and The Believers are ignorant of the causes that amplified #CampFire#Paradisefire #WoolseyFire Armageddon ",2018-11-17 23:52:15
@real_farmacist And then there’s science. ,2018-11-17 23:52:12
"I had the opportunity to Thank David Bowie for everything he'd done all his body of work - it was around a camp fire with some other people , he's terribly interested in 'indigenous culture' {as am i} {whatever that's taken to mean in English}",2018-11-17 23:52:10
This is a great article with pics of found babies!#CampFireJamesWoods #CampFire #CampFirePets #Paradise #ParadiseFires #ParadiseStrong #CaliforniaFires #CaliforniaWildFires #CAFires #ButteCounty #ButteCountyFire #ButteCountyStrong #Chico ,2018-11-17 23:52:07
Local boutique donations for wildfire victims  ,2018-11-17 23:52:06
"Still seeing this pretty substantial looking set of storms rolling through CA from Tues-Fri, heavy rains looking likely for fire areas in both north and south. Lots of people in tents after fire will need something more robust. Muslides too. #WoolseyFire #CampFire ",2018-11-17 23:52:04
California fire has made the air so bad it’s blotting out the sun and cooling the ground - Los Angeles Times ,2018-11-17 23:51:51
"@ck14340 We are cooperating with the County, the Red Cross and other local organizations to ensure that the people impacted the Camp Fire can transition to the shelters that can provide the resources, services and care they need.",2018-11-17 23:51:38
Rake &amp; clean 30m acres of forests. Nothing to debate. #Trump is either dumbest man alive or is suffering from some type of brain disease. Sad &amp; dangerous! #EnoughSaid #Resist  ,2018-11-17 23:51:37
@MMFlint Science??? ,2018-11-17 23:51:36
“Your flag still flies and hope remains.”  Thank you for sharing this photo with me @SheldonFort. #CampFire #ParadiseStrong @verizon @VerizonNews @paradise_ca @CountyofButte @heidiflato @CASenatorJim @BrianDahleCA @J_GallagherAD3 ,2018-11-17 23:51:35
Donald Trump says California fire hasn't changed his opinion on climate change#environment He should not be president.  He is a lying con man.,2018-11-17 23:51:34
Thank you Sam Francisco SPCA! Please share and donate if possible! #DogsOfTwitter #Dogs #Campfire #donate #help #onenation #hope ,2018-11-17 23:51:30
@blumspew Not exactly climate but a large part of why the Camp Fire in particular has been so devastating is because of the area it occurred in. The Paradise area is incredibly rural and many properties have septic systems and propane tanks that exploded when the fire came through.,2018-11-17 23:51:09
The new Trump slogan - MAKE AMERICA RAKE AGAIN!  #makeamericarakeagain #CaliforniaFires #CampFire  ,2018-11-17 23:51:01
"What would you expect?AFTER: 9 Days; 71 Fatalities;1,011 unaccounted; &gt;30,000 displaced; evacuation orders covering &gt;200,000 people; 146,000 acres; 9,700 single-family homes; 144 multi-family homes; 336 commercial buildings;#CampFire #ParadiseFire#WoolseyFire #MalibuFire ",2018-11-17 23:50:57
"@CNN These are Scenes, where I wish I never had to seen it. I admire #Calfornia'n who can handle this, pics from the #CampFire",2018-11-17 23:50:55
"@JPan77 @TheContemptor Raking goes fairly quickly, but combing the snarls out of the pine needles is a bitch! @realDonaldTrump #Finland #FinlandDoesntRake #CampFire #CalFire #CaliforniaFire #WoolseyFire",2018-11-17 23:50:55
Why did they leave their fucking dog? ,2018-11-17 23:50:45
"@walmarthelp Thanks for replying. And this: ""...four of the shelters housing Camp Fire evacuees currently have norovirus outbreaks, and are getting worse every day. “I’d rather breathe the smoke,” said Whiteburn.""It would be great PR if you could give motel vouchers.",2018-11-17 23:50:31
Trump Calls the California Fire A Very Small Problem - 1000 people missing and 72 confirmed dead is a very small problem indeed ,2018-11-17 23:50:25
@StormIsUponUs If you are insane sure....,2018-11-17 23:50:19
"#Wildfire Causes &amp; Solutions:  #climateaction #renewables #distributedsolar, bury #powerlines, #firesafety retrofits &amp; building codes, #fire proof construction &amp; landscaping, prescribed burns, #CampFire #Paradise #WoolseyFire #Malibu #PGE #BrownsLastChance",2018-11-17 23:50:09
"List of missing people after Camp Fire swells to more than 1,000 ",2018-11-17 23:50:08
#CampFire #CampFirePets Heartbreaking 😭 ,2018-11-17 23:50:00
#BREAKING: Fire officials have reduced the evacuation order for Messilla Valley and Lower Clark. #CampFire ,2018-11-17 23:49:46
QUICKSomebody HandThose #ImmigrantCaravan People RakesThen Have ThemTell The Military At The BorderThey're From Finland#CampFire#CaliforniaWildfires #WoolseyFire #ParadiseFire #Trump #MAGA#inners,2018-11-17 23:49:34
@PressSec @realDonaldTrump @JerryBrownGov @GavinNewsom @GOPLeader why anyone cares what this Moron says is troubling ,2018-11-17 23:49:31
"“They watched the hazy sun,Sinking in the sea...”#CampFire #Paradise #LastResort ",2018-11-17 23:49:29
Lost &amp; InjuredAnimal Resources List #CampFire#campfirepets🐄🐎🐶,2018-11-17 23:49:29
@AynRandPaulRyan Paper towels to flood victims so I guess a couple California fire victims will get #DonnysWetWipes,2018-11-17 23:49:27
'It's like total devastation': Trump visits Paradise lost by California fire  ,2018-11-17 23:49:23
Camp Fire evacuees at #Walmart parking lot ordered to leave with their pets #Evilmart #CaliforniaWildfires ,2018-11-17 23:49:20
"I appreciate this list of tangible, localized way we can help the survivors of the #CampFire. Thanks, @publiclandlvr. ",2018-11-17 23:49:17
"Landed in a dystopian landscape today. The roofs of buildings  hundreds of miles away from the #CampFire are gray with ash. People chit-chat about the type of mask they wear if they dare go outside. Flames destroyed thousands of lives, and smoke is hurting millions of others. ",2018-11-17 23:49:16
My heart is breaking a second time over knowing that this disaster was preventable. There need to be better regulations for corporate utilities. @PGE4Me #CampFire  via @VICE_video,2018-11-17 23:49:09
@sdhumane Still finding animals alive after the devastating #CampFire ♥️♥️♥️,2018-11-17 23:49:06
@leahmcelrath @Knight201701 Get ready. This #campfire will be politicized as part of the plunder &amp; destruction of all public assets by Putin’s American oligarchs.#paradisefire,2018-11-17 23:49:06
“How strongly does the atmosphere want to pull water out of the vegetation and out of the ground?”   #CampFire #Woosley #Eastwinds,2018-11-17 23:49:04
"@risetoflyy @falseflagjerry The question is when to stop... LOL)As we already know “Camp Fire”=75; =141 (a digital anagram of “Hell Fire”=71; =145) destroyed Paradise, CA. Which implies the following:""Paradise, CA is destroyed by Hell Fire”=322; or“Paradise in CA is destroyed by hellish Camp Fire”=666;",2018-11-17 23:49:03
Join us later w/ #Fallout76 LIVE #Deathclaw FeedingsDrops Giveaways Loot SWAGonly on #TheStardsutLoungeMonth long #CaliforniaFires Relief Donation Drive#CampFire  &amp; #WoosleyFire#CampFireJamesWoods ,2018-11-17 23:48:55
"@andylassner We are in DESPERATE need of #100portables classrooms to get all the Paradise &amp; other area students back into school by Dec. 3rd. These students of the #Campfire need your HELP. 1000's of students displaced! #ParadiseStrong , #ButteStrong . They need some sort of normalcy!",2018-11-17 23:48:54
"Here is a fire weather update! The Camp Fire in Northern California is the most destructive fire in California history. The Camp Fire has destroyed over 11,800 structures and has claimed 71 lives. The Camp Fire has burned 148,000 acres and is now 55% contained.",2018-11-17 23:48:51
I keep seeing tweets that shelters full. THEY ARE NOT. See this list or download the Red Cross emergency app.  #CampFire,2018-11-17 23:48:50
"Troops have been deployed to our southern border during the holidays, where there is very little for them to do. They could however be sent to California where they could actually help citizens in need... #CampFireSmoke #CaliforniaWildfires #CampFire",2018-11-17 23:48:40
"It's a Damn Shame  But, But ,But, Gues Who Profiting Long as He The Command is In Command.....#WhoseNarrative WhoseNarrative Who ? ",2018-11-17 23:48:32
"Athletes who need clothes, shoes, gear, etc - come to the gym this Tuesday morning. #campfire #workout #athlete ",2018-11-17 23:48:27
@MrCarrOnTheWeb @realDonaldTrump @BCOEStory butte County will pull through. @realDonaldTrump cares more about the photo-op and tweeting than #CampFire. We in NorCal will help you through,2018-11-17 23:48:20
"A rampant issue here at the Chico FEMA camp behind walmart. People are abandoning their donations, evacuees are leaving their trash. Theirs piles of human feces in the field. #FEMA #ChicoCA #CampFire #ParadiseFires ",2018-11-17 23:48:11
Evacuated from the #CampFire? Contact your insurer at their Toll Free Phone Number  #Wildfires ,2018-11-17 23:48:01
@shannonrwatts #RakeAmericaGreatAgain #SaturdayMotivation #ImpeachTrump #CaliforniaFires #CampFire #WoolseyFire #CaliforniaStrongCredit: @Rob_Rogers ,2018-11-17 23:47:58
Gerard Butler Hosts Star-Studded Fundraiser for California Fire Relief After His Home Was Damaged –  ,2018-11-17 23:47:55
"President Trump to reporters, per pool: “We had a fantastic meeting Gavin and Jerry. We’re working very, very well together. We have to, it’s a devastating situation. We have to."" #CampFire",2018-11-17 23:47:49
'He can kiss my red ass': California fire evacuees give Trump visit short shrift ,2018-11-17 23:47:37
These images of the burned &amp; broken pets rescued from the #CampFire 😭 ,2018-11-17 23:47:35
This so called leader astounds me with his sheer idiocy.  ,2018-11-17 23:47:31
"When Guy Fieri shows up, you know the disaster is serious - my life in the Camp Fire ",2018-11-17 23:47:25
This is not the kind of history California wants to be making. #CampFire #ButteCounty ,2018-11-17 23:47:25
Learn how to help California's Camp Fire victims in Paradise and nearby ,2018-11-17 23:47:20
"#CaliforniaFires  If you haven't seen this Fox broadcast, you should . . . it's short, and was broadcast about 10 days before the Camp Fire started . . . ",2018-11-17 23:47:18
visit  @SoCalTelevision #traffic #news &gt; !! #woolseyfire closure !! road closed from carbon canyon to wood rd.... LIKE &amp; FOLLOW @SoCalTelevision,2018-11-17 23:47:14
"@RFWill149 Here is how insane the smoke was on 680 and 80 in various places I went through while on @FAST_Transit Blue Line on Friday, following the @SanJoaquins Board of Directors Meeting. #CampFire ",2018-11-17 23:47:09
cc:@realdonaldtrumpThe Terrifying Science Behind California’s Massive Camp Fire  via @WIRED,2018-11-17 23:47:07
Every morning I check the forecast for rain. To aid in fighting the #CampFire and to tamp down the smoke in our air. Hadn't thought about the fire-flood potential:  #ReadLocal ,2018-11-17 23:47:03
Camp Fire Survivors Are Now Refugees In Their Own Country,2018-11-17 23:46:51
"Forget the asshat who says ""rake the forest"" 🙄and THANK our firefighters.🇺🇸#CampFire ",2018-11-17 23:46:45
"Instead of resources going to #CampFire &amp; Cali, the US gov sends thousands of troops to stop a non-existent caravan of migrants at the mex border &amp; sends planes to kill poor foreigners.""US-led coalition airstrikes kill at least 40 in Syria, AP reports""  ",2018-11-17 23:46:44
"Trump tours California wildfire devastation, blames everything but climate change  via @thinkprogress",2018-11-17 23:46:40
#CampFire - Messilla Valley and Lower Clark Evacuation Order Reduced to Warning 11.17.18 ,2018-11-17 23:46:30
Trump says California fire hasn't changed his opinion on climate change ,2018-11-17 23:46:29
Surviving the Camp Fire was hard enough. Now these animals have to find their humans. - The Washington Post ,2018-11-17 23:46:27
"The North Valley Community Foundation is accepting financial donations help fund services for those who perished in the Camp Fire.  😢To donate, go to ⤵️#paradisefire #CampFire #CampFirePets #Stirling #ParadiseCA #Magalia #Chico #Orovile",2018-11-17 23:46:24
We just reached $4000 in cash donation! The collected items will go out today.We continue to collect cash donation at both of our stores &amp; online at our website. Thank you for your generosity!#ButteCountyFire #ButteCountyStrong #CampFire #CampFirePets #HelpNeeded #jeffreyspets ,2018-11-17 23:46:24
"@fakedansavage @DrJenGunter Also known as, “Camp Fire disaster now compounded by arrival of the walking atrocity, Trump.” California deserves a break!",2018-11-17 23:46:24
"""A lot of us voted for him and he [talks] down to us?” ",2018-11-17 23:46:22
Camp Fire evacuees relocating from Walmart parking lot to shelter,2018-11-17 23:46:21
"🌲🔥🌲🔥🌲🔥🌲🔥🌲🔥🌲FYI: Lab closed 22 years ago, and cleanup efforts remain in the planning stages. But yeah, let's blame climate change...☢⚠️🔥☢🔥☢🔥☣🔥☢🔥#WoolsleyFire #CaliforniaFires ",2018-11-17 23:46:20
'He can kiss my red ass': California fire evacuees give Trump visit short shrift ,2018-11-17 23:46:19
"‘The Federal Government Is Behind You’: Trump Tours Camp Fire Devastation with Brown, Newsom  ",2018-11-17 23:46:05
Wish I was a fly on the wall for the #GavinNewsom and #JerryBrown post-visit commentary. #CampFire,2018-11-17 23:46:05
"🐾🔥🐾#DontGiveUp Your pet may look very different, sooty, singed, bandaged. Look again! Don't go by color! Example👇❗ #CAfirepets #MissingPets #missingdog #missingcat #CampFirePets #DisasterPets #animalrescue  #CAwildfirepets #CampFire#CaliforniaFires #Californiawildfires ",2018-11-17 23:46:00
"Folsom firefighters are among the many local area fire agencies helping with the #CampFire. The fire devastated the area and surrounding communities, but firefighters continue to try and save what they can. ",2018-11-17 23:45:51
"Over 1,000 Missing in NorthernCalifornia’s Camp Fire, Officials Say  via @Splinter_news",2018-11-17 23:45:50
"@rolandscahill Actually an Ewok would be much better President than IQ45. Send one down here to Paradise, CA and take Jabba the Hut back to his home planet. Haven't we suffered enough already?#CampFire. #ParadiseFire #CaliforniaFires",2018-11-17 23:45:45
"The #craftbeer community is pretty great!""Fresno craft beer bars helping camp fire evacuees.""",2018-11-17 23:45:42
Garbageman and his family come to 93-year-old's rescue in fire #campfire,2018-11-17 23:45:40
"If you did an overlay of the #campfire In Paradise CA onto Indianapolis, this would be the area damaged.  ",2018-11-17 23:45:34
"@endthemaddnesss Text for visually impaired:#CampFire Relief Shelter28,000 sq ft indoor warehouse for displaced residentsShowers and restroomsFamilies can set up tents indoors and out of the weatherPets ARE allowed1400 Bridge StYuba City, CAmore information:TEXT Richard at 916-949-0914",2018-11-17 23:45:31
No words.  #WoolseyFire ,2018-11-17 23:45:23
#CampFire.  RAGA.  Raking America Great Again.  Stupid Trump!,2018-11-17 23:45:22
Paradise couple who died in Camp Fire were 'wonderful people'  ,2018-11-17 23:45:19
"@real_farmacist What about the statement to Trump that the fire is an ""urban interface"" fire, #notforestfire--6 DAYS AGO? ""Firefighters slam Trump's illogical tweet about out-of-control California fires""  #CampFire #CampFireSmoke #CampFireAirQuality #ParadiseCA #MalibuFire",2018-11-17 23:45:18
"""Over there, that's where Peterson forgot to rake his yard. And over THERE, where the fire actually STARTED, that's a (fkn) ""NATIONAL"" forest. AKA: FEDERAL land."" #CampFire #Paradise #Chico #Trump #JerryBrown #CaliforniaWildFires ",2018-11-17 23:45:15
#CampFire Evacuation Order Reduced to Warning 11.17.18 ,2018-11-17 23:45:15
"Trump tours California wildfire devastation, blames everything but climate change  via @thinkprogress",2018-11-17 23:45:14
CaseyGerry is proud to partner with the Tosdal Law Firm in representing Retired Chief Kirk Trostle and his wife Patty Garrison. ,2018-11-17 23:45:12
"""...ya gotta sweep...sweep the floors...the floors of the forest...look at other countries who take care...""Proving once again, #DotardDonnie needs the #25thAmendmentNow!!!! #Heinous #Heartless #Brainless #CampFire #TheResistance",2018-11-17 23:45:10
Queen Elizabeth sends 'thoughts and prayers' for California fire victims  ,2018-11-17 23:45:07
Emotional Video Shows Woman Reunite With #Cat Who Ran Off Into #California #Wildfire | HuffPost  #CampFire #CAfire #pets #Caturday,2018-11-17 23:45:05
#Repost @sierranevada (get_repost)・・・Many of you have asked if we will be brewing a fundraiser beer to support #CampFire relief efforts. The answer is a resounding “yes.” We are proud to… ,2018-11-17 23:45:02
49ers Auctioning Game-Worn Jerseys To Support Camp Fire Victims ,2018-11-17 23:45:00
Norovirus strikes shelters for California wildfire evacuees @CNN ,2018-11-17 23:44:59
"Lady Gaga may have had to abandon her Malibu home because of the wildfires, but she didn’t leave her community behind... &lt;3 ",2018-11-17 23:44:45
"Trump denies climate change which is largely responsible for the last year’s worth of forest fires: Thomas Fire, Holiday Fire, Camp Fire, Woolsey Fire!!!",2018-11-17 23:44:45
"@ActionNewsNow So thankful for strong leadership, especially in times of need #CampFire",2018-11-17 23:44:33
Brian is like...”you wanna do what?!” 😂 obviously trying to sneak in some fun things amidst heavy hearts. Can’t wait to see everyone tomorrow for our #CampFire Ride @teamridestudios! If… ,2018-11-17 23:44:32
"The #CampFire missing persons list now up to just over 1,000. May include multiple reported missing persons, according to @ButteSheriff. List:  #LiveOnK2 ",2018-11-17 23:44:30
"@ChristusPatriot Since American people can’t get immediate assistance during this #CampFire , THERE BETTER NOT BE ONE MF MIGRANT INVADER LOSER THAT GETS HELPED! I don’t give a shit about their “plight,” we’ve got to help AMERICANS! #SaturdayThoughts",2018-11-17 23:44:22
"@RegiByler @RealJamesWoods you're not serious, right? Camp Fire was named after it's origin AT CAMP CREEK ROAD in Butte County",2018-11-17 23:44:21
@WasteManagement Dane Ray Cummings is a hero!!,2018-11-17 23:44:15
So AMAZING to see Air Force One. Thank you ⁦@realDonaldTrump⁩ @POTUS for coming to CA. #WoolseyFire #CampFire #Qanon #(((+))) ,2018-11-17 23:44:08
#CampFire Pets... if you are looking for your missing pet here is a thread. ,2018-11-17 23:44:07
"@yayitsrob Yes, the Era of Kludges. AKA grassroots activism. Here in NorCal, we are laboring under the smokey blanket of gloom cast by the #campfire catastrophe. And we are having success convincing local governments to declare a #climateemergency in their communities. @350action",2018-11-17 23:44:05
"The Woolsey Fire , Camp Fire And Hill Fire Consumed Thousands Of Acres In California Forcing Tens Of Thousands Of People From their homes. The Redcross Is On The Ground Providing Shelter And Emotional Support For Evacuees Text CAWILDFIRES To 90999 To Make A $10 Donation. ",2018-11-17 23:43:54
"#TrafficAlert: U.S. Highway 101 in @CountyVentura is now closed 3.1 miles south of Oxnard at Wood Road. Plus, there are five other fire-related state highway closures. #WoolseyFire #CampFire #CAWildfires ",2018-11-17 23:43:53
@PressSec @realDonaldTrump @JerryBrownGov @GavinNewsom @GOPLeader Have #POTUS and #GoverorBrown killed each other yet or are they getting along ok? #CampFire #CaliforniaFires #Drought #PrayForCalifornia,2018-11-17 23:43:52
#LASD Happening Now #WoolseyFire Re-Population Meeting underway. All agencies an…  ,2018-11-17 23:43:48
"She had to evacuate from the #CampFire but she couldn't find her cats, Coco and Pebbles. Lots of people are doing heroic work to save burned pets. By @AngelaFritz  on @PostHealthSci ",2018-11-17 23:43:48
