tweet,time
Help Out! #ButteStrong #CampFire ,2018-11-21 23:59:59
"After witnessing two men, in the exact same uniforms, driving @brosnansecurity trucks at the @Walmart encampment ... I suspect these aren’t simply concerned citizens. #CampFire ",2018-11-21 23:59:32
Rescuers fear rains will wash away victims’ remains; 870 still missing in California fire ,2018-11-21 23:59:18
Green Bay Packers QB Aaron Rodgers donates $1 million to Camp Fire victims ,2018-11-21 23:59:18
"@gollnerfire @DJHuntPCG @Weather_West @RMS @Revkin @CAL_FIRE @HuffPost @femaregion9 @SecNielsen @nppd_krebs @CNN @questCNN @MikeCrapo @CA_DaveJones @NACoTweets @c40cities @ICLEI_ResCities @LeroyWesterling @KamalaHarris @IainHyde @PrecoveryLabs @AMBestCo @PGE4Me @smosstastrophe @AMBestRatings @steve_e @IPTradingRisk @Edison_Electric @SCE @David_Benyon @helen_reinsure @NewsReinsurance @MichaelEMann @TheEconomist @cflav @NFPA @Firewise @Michele_NFPA @disastersafety @roysterwright @thecodecoach @JanKellett @david_j_p @ScheuerJo @InsDevForum @mibeltranv @BushKevinJ @Alice_C_Hill @louis_da_costa_ ""#Paradise narrowly avoided catastrophic wildfires many times over past 20 years"" - blog puts #wildfires into historical context:  13 large fires since 1999 burned inside current #CampFire footprint &gt;&gt; &gt;&gt; Damage to Paradise tragic but not surprising. ",2018-11-21 23:59:12
"The Camp Fire has burned more than 152,000 acres and is 75% contained.",2018-11-21 23:59:01
#retweet4good - Camp Fire ,2018-11-21 23:58:42
It's raining! Hopefully it helps put out that stupid fire. #CampFire #CaliforniaFire,2018-11-21 23:58:26
Rain has always made me happy but infinitely joyful today #rain #BayAreaSmoke #bayarearain #CampFire #cleanair,2018-11-21 23:58:20
Aaron Rodgers Donating $1 Million to Camp Fire Relief Efforts  via @nbcbayarea,2018-11-21 23:58:15
"I spent this morning at the @fema disaster recovery center. 1,553 people filtered thru Tuesday. FEMA officials said they've never seen anything like it. For the complete video (Twitter space rules!!) go to my FB page/MattRayTalk  #CampFire ",2018-11-21 23:58:05
VIDEO: Firefighters free deer tangled in downed power line in #CampFire aftermath  ,2018-11-21 23:57:27
Were you or your family affected by the Butte County Camp Fire? If you lost property in the fire or were displaced you may be entitled to compensation in excess of your insurance coverage. Call Today! #Buttecountyfire #lawyer #lawfirm #law #paradise ,2018-11-21 23:57:15
"The #CampFire has burned at least 152,250 acres but is now 75% contained. At least 81 fatalities reported... ",2018-11-21 23:56:42
JC Basketball Game Becomes Vehicle For Camp Fire Support ,2018-11-21 23:56:30
San Francisco before &amp; after the Camp fire ,2018-11-21 23:56:28
Southern California fire left scar that's 'easily visible from space' ##CNET  @gaelFC ,2018-11-21 23:56:23
California's #WoolseyFire has left a burn scar so big you can see it from space #NASA  via @mashable,2018-11-21 23:56:05
this interview is amazing #AmericanHeroVolunteers Continue Searching For Victims Of Camp Fire  via @hereandnow,2018-11-21 23:55:55
"Can you imagine if your entire town was destroyed due to a wildfire? Here’s an opportunity to help raise money for recovery efforts of the Camp Fire in Paradise, CA. #retweet4good ",2018-11-21 23:55:51
Breweries across the country like @SaintArnold and @karbachbrewing in #Houston are teaming up with @SierraNevada to brew Resilience Butte County Proud IPA. Everyone will use the same recipe. All proceeds benefit #CampFire victims #craftbeer #beer #breweries #IPA #khou11 ,2018-11-21 23:55:47
Let your love Free 💜❤️💚 my heart goes out to all of the people 🙏🏼affected by the California fires #abstractartist #Pastel #Hearts #Campfire ,2018-11-21 23:55:30
"Can someone design a shirt for Paradise, CA that we can use to fundraise for the #campfire disaster? - ",2018-11-21 23:55:12
Thousands Of #FireEvacuees To Spend The Holiday Without Homes  #CampFire,2018-11-21 23:54:40
How to help the Camp Fire folks of NorCal #CampFireParadise #NorCal #community #NorCalLove    #CampFireParadise #,2018-11-21 23:54:35
Lol California fire is Gay LMAO.not allowed in my country,2018-11-21 23:54:22
"Signing onto Twitter and reading what the narrative has become on here regarding @AaronRodgers12’s $1 million donation to the #CampFire relief efforts, it feels like a good time to reiterate that the hashtag is #Retweet4Good and the link to donate is: ",2018-11-21 23:54:11
"The Father's House ""Gift of Hope"" Christmas Assistance program is reaching out to 1000+ children affected by the Camp Fire - and we need you!!! PICK A CHILD to sponsor at... ",2018-11-21 23:54:05
Rain may help California firefighters; bring more misery for Camp Fire evacuees ,2018-11-21 23:53:54
"The Father's House ""Gift of Hope"" Christmas Assistance program is reaching out to 1000+ children affected by the Camp Fire - and we need you!!! PICK A CHILD to sponsor at We are... ",2018-11-21 23:53:49
57 firefighters also lost their homes on the #CampFire in Northern California: ,2018-11-21 23:53:32
California firefighter rescues a cat - and now she won't leave his side ,2018-11-21 23:53:28
California’s newly homeless fire victims face the state’s severe housing shortage -Via @voxdotcom Thousands who lost their homes to the Camp Fire must contend with one of the tightest #housing markets in the country. #SDoH #wildfires #califires ,2018-11-21 23:53:28
"Rain brings the #BayArea much needed reprieve from the noxious wildfire smoke, as AQI drops 120 points in 12 hours. Get real-time data &amp; #airquality forecasts via the AirVisual App:    #CaliforniaWildfire #CampFire ",2018-11-21 23:53:24
"“Meditating or ‘de-stressing’ is much more important than eating ginger or breathing steam with thyme.” John Balmes, MD, @UCSF pulmonologist, @UCBerkeley environmental health scientist #campfire ",2018-11-21 23:53:22
"The Woolsey Fire has burned more than 96,000 acres of the Golden State.",2018-11-21 23:53:20
"Super thankful to have a home this Thanksgiving, especially after seeing this burn area imagery where we are surrounded by charred land. Awful losses just south of us. #woolseyfire ",2018-11-21 23:52:48
"@djhenshall @VidCon Please don't remind me!  Living in Northern CA, I have my sister and her kitty, both Paradise evacuees from the #Campfire staying with me. He shows up to visit and called the town Pleasure 3x before being corrected! And thinks raking our forests will fix this????",2018-11-21 23:52:43
 FAST FIVE: Was Global Warming A Significant Factor In California's Camp Fire?#NWO  ,2018-11-21 23:52:14
Was Global Warming A Significant Factor In California's Camp Fire?  #Investing,2018-11-21 23:52:10
#woolseyfire tavern101agoura to my friends and neighbors I just ran into the owner of Tavern 101 he is offering a free Thanksgiving dinner to those of you who lost your home in the fire .… ,2018-11-21 23:52:01
"@JohnLegere @TMobile Hi @JohnLegere, would you be willing to give discounts for new phones for evacuees of the #campfire? My parents lost everything and my mom needs a new phone. Could we get a 10 or 20% off coupon?? She can verify Paradise residency. 🙏",2018-11-21 23:51:58
This is the future that liberals want. (source: Photographer captures dystopian images of San Francisco under a smoky siege  ) ,2018-11-21 23:51:31
New @ATTPolicyCA President @RhondaJohnsonC9 lending a helping hand #CampFire ,2018-11-21 23:51:25
This kind of giving is inspirational.   #WoolseyFire,2018-11-21 23:51:22
'Come on!': Watch a man desperately flee Calif. Camp Fire flames in his truck ,2018-11-21 23:50:56
Camp fire family displaced Please support my GoFundMe campaign:  @gofundme ,2018-11-21 23:50:55
"SoCal builder pledges $1 million to students, staff at school in Camp Fire area ",2018-11-21 23:50:49
"How is this a story? For #nurses, there are only days you work and days you don't work. There are no weekends or holidays.“RNs Skip Thanksgiving to Provide Aid and Relief to Camp Fire Victims” by National Nurses United ",2018-11-21 23:50:45
The San Francisco SPCA is attempting to reunite dogs and cats who were displaced by the #CampFire with their owners.Do you recognize any of these pets??See more:  ,2018-11-21 23:50:23
The murder of Khashoggi was horrible &amp; there is major worldwide out cry &amp; should be!Where was the worldwide out cry for our men that died in Benghazi? Clinton/Obama cover-up &amp; lies!Red Cross is there for illegals at the borderIs Red Cross there for California fire victims?,2018-11-21 23:50:19
Camp Fire containment grows to 75 percent as death toll rises to 81  ,2018-11-21 23:50:15
#Grateful to join our mighty @ATTPolicyCA family in Oroville today on #ThanksgivingEve to help our neighbors reeling from the #CampFire ,2018-11-21 23:49:55
"My 8 yr old daughter put this video together showing the story of the camp fire, please watch, she worked very hard on it😊 ",2018-11-21 23:49:45
Trump official trashes victims of California fire as death toll rises to 79 ,2018-11-21 23:49:43
"Musician Frank Martinez To Feed 5,000 Thanksgiving As More Celebrities Vow To Help Camp Fire Victims ",2018-11-21 23:49:18
Still coming down like crazy; little bit of flooding as well. I'm heading home right now; going to try to start the stream about 5 p.m. PST. See you guys there. 🌧🌧🌧🌧🌩🌩🌩🌩🌩 #Rain #Thunderstorms #MotherNature #Water #Flooding #CampFire ,2018-11-21 23:49:12
"8 months after moving and there’s real rain for the first time. Couldn’t have been better timing either. Thank you, God! #CampFire #smokepocalype",2018-11-21 23:49:10
Getting close to Thanksgiving and I’m very thankful for all the brave firefighters battling the catastrophic fires up &amp; down California. #fire #firefighters #californiafires vid by @alanwinder ,2018-11-21 23:49:07
I'm fundraising for the newly created Wildcats Rise Fire Relief Fund at CSU Chico. This fund supports our campus community affected by the Camp Fire. Find out more and donate here: ,2018-11-21 23:48:57
. @StateFarm will donate one dollar for every re-tweet of this video from @AaronRodgers12 -- up to one million dollars. (Rodgers is also donating a million dollars.)  #retweet4good #CampFire #ButteCountyStrong ,2018-11-21 23:48:57
