tweet,time
California thanks Texas firefighters for your assistance! #tuffviking #traveltexas #hillfire #Woolseyfire #CaliforniaFires #campfire #LAFD #mondaythoughts #MalibuFire #SoCalFires 🇺🇸  … ,2018-11-12 23:59:59
"#Repost @sabiopleasanton ・・・We are heartbroken for the victims of the Camp Fire. Sabio lunch starts  Wednesday Nov 14, and we are donating 100% of our first two weeks lunch sales to the… ",2018-11-12 23:59:59
"@jtmnm91 @BethLynch2020 Oroville Dam. There was already a small blaze on finger of north side of the lake. Construction crews were sent home.It is the world’s tallest dam, we just rebuilt it for $1 Billion. At risk due to #campfireBut that Beto... apparently really monopolizes centrist imagination.",2018-11-12 23:59:58
"Beloved music teacher from San Francisco, 63, killed in Camp Fire.  ",2018-11-12 23:59:54
"@David_Gergen @CNN After hearing report from the woman who was stuck in her car surrounded by the Camp fire flames, talking 2 her husband saying she wasn't going to make it, and then hearing trump blame the wildfires on CA - I wanted to scream &amp; cry. Sorry, but I do now truly hate President trump.",2018-11-12 23:59:52
Gerard Butler Posts PHOTO of His Burnt House in California Wildfires ,2018-11-12 23:59:51
"#WoolseyFire So California is burning up the homes of American's to get federal funds to accept more illegal aliens! FOLKS, WAKE UP! #mondaymotivation",2018-11-12 23:59:44
"Trump insults 31 dead Californians with disgraceful response to fires  #PeakFire ""Arlington Cemetery"" #VeteransDay18 #FBR #theresistance #trumprussia #FBRParty #trumprussia #resist #PRU",2018-11-12 23:59:43
And this how California fire started ,2018-11-12 23:59:43
@68Kidding You know this wasn’t caused by a camp fire right? It’s called camp fire because it was started on camp road.,2018-11-12 23:59:41
Our friends at @MeatheadMovers are organizing relief efforts for the victims of the recent wildfires in California. They're accepting donations until Thursday at any of their 5 offices and will be driving items out on Friday. Let’s #FillThoseTrucks ,2018-11-12 23:59:40
California wildfires live updates: Massive blazes grow as 2 new fires break out; dozens remain unaccounted for... ,2018-11-12 23:59:03
