tweet,time
This is horrifying. ,2018-11-19 23:59:53
"“Leave me behind,” Rachelle Sanders told a stranger who was fleeing the deadly Camp Fire with her and her newborn son. ",2018-11-19 23:59:50
"The #CampFire alone has burned over 10,000 homes. That fire is only 50% contained. Our community needs your help. Join our fundraising effort with @GlobalShapers in #California by contributing to the @CalFund #WildfireReliefFund #CaliforniaStrong  ",2018-11-19 23:59:50
"When is “enough, ENOUGH?” #ParadiseFire #campfire ",2018-11-19 23:59:35
"The camp fire is prompting cities and counties everywhere to evaluate their own evacuation plans. @4,6",2018-11-19 23:59:22
Sharing meals and gratitude with our #UCDavis GSM family. #Friendsgiving this year included a donation drive to help those affected by the Camp Fire. ,2018-11-19 23:59:10
"There have been 77 fatalities due to the Camp Fire in Butte County, making it the deadliest natural disaster in California since the Loma Prieta earthquake in 1989, which claimed 69 lives.  ",2018-11-19 23:59:05
"The daunting task of identifying victims of the Camp Fire: In the 11 days since Northern California's Camp Fire ignited, residents have experienced “hell on earth."" Firefighters have now contained about 66 percent of the fire. But as rain approaches,…  ",2018-11-19 23:59:05
"Could the Northern California fire really have killed 1,000 people? The number haunts survivors - Los Angeles Times ",2018-11-19 23:58:46
"Relief is on the way! According to the National Weather Service [NWS], there’s an 80 percent chance of rain in SF  Tuesday night, followed by a 90 percent chance all day Wednesday and most likely continuing through the evening. ",2018-11-19 23:58:42
"The catastrophic Camp Fire isn't even halfway done burning, officials predictCNN)While hundreds of families wait in agony to learn the fate of missing loved ones, officials gave a gut-wrenching forecast... ",2018-11-19 23:58:38
"Number of homes destroyed by Camp Fire swells to more than 11,000 ",2018-11-19 23:58:33
These dispatches from @bri_sacks in fire country are just devastating  ,2018-11-19 23:58:18
Camp Fire: Two men arrested for allegedly burglarizing Cal Fire station  via @SFGate,2018-11-19 23:58:08
"The #CampFire took ruthless aim at older people. Those that escaped left behind meds, wheelchairs, walkers. Some need dialysis but can’t get it. Others have respiratory illnesses aggravated by smoke. Some are being felled by #norovirus:  @KHNews @_TheBrink",2018-11-19 23:57:58
"Illuminati, government, lasers: California fire conspiracy theories are wild — and wildly implausible #qanon #maga #WWG1WGA #CaliforniaFires",2018-11-19 23:57:49
Finnish President: I Didn’t Talk To Trump About Raking To Prevent Wildfires   ,2018-11-19 23:57:45
The Chico team and associates from neighboring stores came together as a family in a time of need. The Camp Fire can’t take that from us. @THD_Western_Ops @CgwilsonChris @steveknott020 @JStorrs91 @Danit12 ,2018-11-19 23:57:34
THIS is a heart-wrenching read - - - &gt;California fire: What started as a tiny brush fire became the state’s deadliest wildfire. Here’s how ,2018-11-19 23:57:34
"Structure losses in Southern California fire rise to 1,500  ",2018-11-19 23:57:22
Fuck these guys.Two men arrested for looting California fire station during wildfires ,2018-11-19 23:57:15
"Paradise Lost: Wildfire Chases Seniors From Retirement Havens To Field Hospitals | CHICO, Calif. — After barely getting out of Paradise alive before the Camp Fire turned her town to ash, Patty Saunders, 89, now... | ",2018-11-19 23:57:03
"As of Sunday nightCamp Fire Butte County150,000 acres burned77 fatalities confirmed993 unaccounted for12,794 structures destroyedWoolsey Fire Ventura County96,949 acres burned3 fatalities confirmed1,452 structures destroyed, 337 damaged ",2018-11-19 23:57:03
Two men arrested for looting California fire station during wildfires  via @nypostUseless SCUM,2018-11-19 23:56:58
"To those of you in the Bay Area - sorry about the inconvenient smoke.  Hopefully you can channel your disdain for it into donating to/sharing the link for   Also help us keep visibility.  Media coverage has been disappointing, at best.#CampFire",2018-11-19 23:56:52
"UPDATE: We've now raised $1,320,083 for #WoolseyFire and #HillFire victims in conjunction with @LAUnitedWay and @RamsNFL! And we're not done. Donate now at ",2018-11-19 23:56:48
The Camp fire raging across northern California is the deadliest in the state’s history. Here’s how it started. (Los Angeles Times) ,2018-11-19 23:56:41
"California fire: What started as a tiny brush fire became the state’s deadliest wildfire""Survivors, emergency radio recordings and accounts by officials depict the chaos of that nightmare""  ",2018-11-19 23:56:36
Damn Camp Fire is preventing me from getting home. The smoke is causing issues so they aren’t taking off right now. *sigh*,2018-11-19 23:56:34
"Could the Northern California fire really have killed 1,000 people? The number haunts survivors - Los Angeles Times ",2018-11-19 23:56:28
"Could the Northern California fire really have killed 1,000 people? The number haunts survivors - Los Angeles Times Devastating  ",2018-11-19 23:56:19
Im so sad that the native American Reservations were so close to the #CampFire I hope they will come forward to talk about it once they are maybe rehoused. Map of Reservations ,2018-11-19 23:56:17
"Won’t you please join me in supporting our fund to benefit the California Fire Victims?  The Intero Foundation will match your donations dollar for dollar, up to $20K…imagine the impact! Go to  ! #thecolangelogroup #campfire #help #gofundme #charity ",2018-11-19 23:56:09
San Francisco News Camp Fire death toll surpasses Loma Prieta earthquake - Curbed SF  ,2018-11-19 23:56:03
"Structure losses in Southern California fire rise to 1,500 ",2018-11-19 23:55:54
South Bay animal control officers share experience helping furry friends during Camp Fire. @KRON4RFladeboe reports.  ,2018-11-19 23:55:45
Running through 12/14/18:Airbnb has launched a program called Open Homes to help find temporary housing for Camp Fire victims and relief workers. Do you want to offer your... ,2018-11-19 23:55:44
"@HillaryClinton my HS locker partner's hubby lost his house in the Camp Fire, he rented it to his son and his family after he and Ryc moved to Newport Oregon. Son and family made it out alive, but are now homeless",2018-11-19 23:55:33
📢📢📢Do you work for the state of CA? Want to ##Volunteer with the #CampFire #CaliforniaWildfires relief in #ButteCo? Learn more #info by following this 🔗  #ButteStrong Everyone Stay Safe we are sending love 💜and prayers 🙏🏽#DisasterAssistTeam ,2018-11-19 23:55:30
Donate and spread the love in times of need,2018-11-19 23:55:27
@OCFA_PIO Prayers are with all of you and families who lost everything. So proud of our firefighter's giving it all as always. #CampFire,2018-11-19 23:55:20
Taking care of our associates impacted by the Camp Fire in Chico 6609. Thank you to the PN ASDS team for the amazing meal for the associates and their families! @THD_Western_Ops @CgwilsonChris @JStorrs91 @steveknott020 @Danit12 ,2018-11-19 23:55:16
Sierra Nevada's Powerful Call for Help after the Camp Fire ,2018-11-19 23:55:10
A number of my followers have asked for #CampFire donation suggestions. One that I can heartily endorse is  They're serving over 10K meals/day to Paradise evacuees and would welcome any $$ you can throw their way.,2018-11-19 23:55:04
"Nationwide #craftbeer brewing 27 NOV w/ 100% of proceeds going to Paradise, CA  'Camp' fire relief . Drink up when it hits the shelves in mid-DEC.  Na Zdravi. ",2018-11-19 23:54:46
"""The coastal redwoods were among the few trees to survive. Redwoods are naturally resistant to fire, which partly explains how some have lived 2,000 years... It’s the state tree, which feels appropriate.""#buttecounty #campfire #healing",2018-11-19 23:54:37
Sierra Nevada’s New IPA Is Raising Funds for Camp Fire Relief  ,2018-11-19 23:54:29
Watch: Aerial view of Paradise after Camp Fire ,2018-11-19 23:54:29
Dog found 'protecting the only house left on the block' after Camp Fire in Paradise.,2018-11-19 23:54:14
"Could the Northern California fire really have killed 1,000 people? The number haunts survivors - Los Angeles Times ",2018-11-19 23:54:08
@#MakeAmericaRakeAgain #CampFire #RESIST  The Finnish are being real sports about helping show POTUS how stupid he is!  💙Thank you❤️ ,2018-11-19 23:54:06
"'I was sitting in my car just screaming, waiting to die': A survivor of California's Camp Fire describes her harrowing escape ",2018-11-19 23:54:05
Come together and be thankful for community. These owners are amazing. They lost their home in the fire but are still thinking of others. #oakparkstrong @oakparkusd #thankful #Woolseyfire #community @brookside_opusd ,2018-11-19 23:53:58
"This is incredible. Not only did they donate over $200k to victims of the fires in #ButteCounty in clothing and meals, they’re also brewing #ResilienceIPA and donating 100% of sales to camp fire relief efforts and inviting other breweries to do the same. Bravo @SierraNevada 👏🏽 ",2018-11-19 23:53:20
Camp Fire: Two men arrested for allegedly burglarizing Cal Fire station  via @SFGate,2018-11-19 23:53:05
