tweet,time,score
#PIXNow: THIS JUST IN-  A #norovirus outbreak is sweeping through a #CampFire evacuation center ,2018-11-14 23:59:58,
MODIS image shows extensive smoke over #NorCal from the #CampFire. Air quality this afternoon is in the unhealthy to very unhealthy categories for many locations. Spare the Air Alert continues.  #BayArea #CAwx #CAfire ,2018-11-14 23:59:55,
Updated: Who are the Camp Fire missing? Death toll increases again as answers come slowly about the 100 people reported to sheriff’s office ,2018-11-14 23:59:53,
FEMA has shared that individuals and business owners who sustained losses due to the #WoolseyFire can begin applying for assistance by registering online at  or by calling 1-800-621- 3362 This includes those affected in #Calabasas,2018-11-14 23:59:50,
How you can help victims of the Camp Fire ,2018-11-14 23:59:41,
“We’re on the edge” of a humanitarian crisis in the aftermath of the #CampFire.  ,2018-11-14 23:59:24,
"My colleague, @EricHolst, on how collaborative solutions – not myths – will help protect lives and properties: ",2018-11-14 23:59:22,
@1WordN2Heaven @lizziejohnsonnn It's called #campfire because of the street the fire started on. high winds and a downed power pole caused the fire,2018-11-14 23:59:15,
"⁦@CaltransD2⁩ Tree Crew working on SR 70 today in eastern Butte County, removing hazard trees from the #CampFire⁦@CaltransHQ⁩ ",2018-11-14 23:59:13,
Still missing owner still looking #campfire ,2018-11-14 23:59:12,
Where is the ⁦@RedCross⁩ ?? They love to raise money—isn’t it time they spent some???#campfireparadise#campfire#CampFireSurvivorsRefugee camps for fire survivors: California town ‘on the edge’ of humanitarian crisis - The Sacramento Bee ,2018-11-14 23:59:06,
#Insurance Commissioner @CA_DaveJones going live with @KTVU to discuss his actions to help #California #wildfire survivors. Tune in at 4pm! #CampFire #WoolseyFire #HillFire More info at  ,2018-11-14 23:59:06,
LA News How to Help Southern California Fire Victims  ,2018-11-14 23:59:05,
Offshore winds sent the levels of unhealthy air blanketed over the Bay Area from the Camp Fire soaring over 200 AQI readings in many cities Wednesday afternoon. ,2018-11-14 23:59:02,
@JerryBrownGov legacy? #WoolseyFire 51 dead and counting. #ForestManagement @forestservice @realDonaldTrump @SecretaryZinke,2018-11-14 23:59:01,
Yesterday was a rough day. Shock is wearing off &amp; reality is setting in. My mind &amp; heart are tired. I love you Butte County. Stay strong. 💛#CampFire,2018-11-14 23:58:56,1.0
"More than 100 are missing in California's Camp Fire, sheriff's office says - ",2018-11-14 23:58:50,
C.O. ranch owner saves horses from S. California fire - KTVZ ,2018-11-14 23:58:44,
Horse found 'shivering uncontrollably' after surviving Camp Fire in backyard pool  via @cbs6,2018-11-14 23:58:43,
Grim news from the Camp Fire: Death toll increases again as answers come slowly about the 100 people reported to sheriff’s office ,2018-11-14 23:58:40,
My community is on fire. Much of California is on fire.Heres my new video explaining the #campfire to the best of my ability. Pray for California. Send love. Let's beat these fires.#campfireparadise #CaliforniaFires #WoolseyFire #CaliforniaWildfires   ,2018-11-14 23:58:39,
"Ahead of a local visit on Thursday, Interior Secretary Ryan Zinke goes to Northern California, speaking alongside Gov. Jerry Brown and calling the Camp Fire ""the worst fire I've ever seen"" and urging a focus on recovery efforts.   ",2018-11-14 23:58:35,
"Who or what is to blame for CA’s deadly wildfires? Instead of pointing fingers, we need resilient solutions, fast.  via @USAtoday",2018-11-14 23:58:31,
50 dead. Damn that’s terrible #campfire,2018-11-14 23:58:19,
Her father ran back into the house during the Camp fire. Then she watched it burn to the ground. ,2018-11-14 23:58:16,
"When Guy Fieri shows up, you know the disaster is serious - my life in the Camp Fire ",2018-11-14 23:57:59,
"Famous recording studio, where A-list celebs like @Beyonce have recorded, still stands after #WoolseyFire destroyed nearby homes  ",2018-11-14 23:57:29,
One of the most thorough guides to protecting yourself and family from #wildfire smoke — and note the photos below. The one on the left is what we’re dealing with in #Berkeley / #SFBayArea: #CaliforniaWildfires #CampFire #WoolseyFire #Asthma #BreathingProblems #SpareTheAir ,2018-11-14 23:57:29,
"Donating used clothes to wildfire relief causes is a good way to clean out your closets, but it creates more issues for first responders and volunteer relief organizers.Instead, the best thing to donate is cash.  #CampFire ",2018-11-14 23:57:23,
"Day 7 of the #WoolseyFire &amp; so many have lost so much. Help 4 Heroes is teaming up w/Frontline Fitness to collect donations for those affected! Remember to use caution when donating, ensure you are donating only to reputable organizations!#LASD #AV411 ",2018-11-14 23:57:17,
Air so bad they cancelled all classes here in Sacramento. #CampFire #LosRios ,2018-11-14 23:57:13,
Her father ran back into the house during the Camp fire. Then she watched it burn to the ground ,2018-11-14 23:57:07,
"⁦@CaltransD2⁩ Tree Crew working on SR 70 today, removing hazardous trees from the #CampFire ",2018-11-14 23:57:06,
"Varsity Football: Amid smoke problems from the #CampFire, No. 8 seed American Canyon is ready to finally play No. 1 Rancho Cotate in a NCS playoff quarterfinal ",2018-11-14 23:57:05,
"Are you in Oregon? @OregonAdventist is collecting a special offering this week, 100% to help. #CampFire ",2018-11-14 23:57:03,
The Silicon Valley Humane Society has become a tour de force in taking in animals from the Camp Fire zones. ,2018-11-14 23:57:03,
Lawsuit filed against PG&amp;E over the Camp fire.,2018-11-14 23:57:01,
Thank you to the manager @MimisCafe for feeding me.  After escaping the #campfire with my life I am so grateful to caring people like you.  It's the simple gestures that mean so much right now.,2018-11-14 23:56:58,
Butte County IHSS Providers &amp; Clients Affected by #CampFire: here's info about paychecks &amp; timesheets and additional resources. Please don’t hesitate to call our Chico office at 530-894-2702. ,2018-11-14 23:56:55,
"Lady Gaga surprises California wildfire evacuees with pizza, gift cards ",2018-11-14 23:56:50,
@JeffreeStar And I only say this for the fire in butte county and not down in calabassas because I live an hour away from where the camp fire is happening. It’s easier for me to get food up there than down to LA,2018-11-14 23:56:44,
How to Help Southern California Fire Victims ,2018-11-14 23:56:36,
LINK BELOW TO #CampFire MISSING PEOPLE AND PETS GROUP ON @facebook 🔽 #CampFirePets #CampFireJamesWoods #Chico #ChicoCA #ParadiseFire #CaliforniaFires ,2018-11-14 23:56:36,
"All the happiness is bursting out of every atom that makes me who I am! This always happens when I spend this much time out in the woods, climbing mountains, sleeping under the stars and smelling like a camp fire. I am in love with the fresh morning air on mountain tops!",2018-11-14 23:56:34,
"Join me in supporting #WildcatsRise to ensure Chico State faculty,  staff, and students directly impacted by the devastating Camp Fire have  the resources they need. ",2018-11-14 23:56:28,
Indoor air quality at my office was so poor the big boss shut down the building. First time ever for me in nearly 18 years. #CampFire,2018-11-14 23:56:26,
Stay strong #california #firevictims #firefighters #buttecounty #californiafires #norcal #socal #woosleyfire #californiawildfires #airquality #campfire #nursefire #oroville #sacramento… ,2018-11-14 23:56:24,
@FadeMartins @MagicMarkee I legit sometimes just sit by camp fire and just mesmerize the view with my horse. It’s kinda scary how detailed everything is.,2018-11-14 23:56:08,
"LA Co. Sheriff's say a body was found in a burned out home, the 3rd victim of the #WoolseyFire in SoCal. Meanwhile, Gov. Brown toured Paradise, the community that was devastated by the #CampFire in Butte Co. where 48 people died.  @CourthouseNews",2018-11-14 23:56:03,
There is no way this photo was taken recently. Haven't seen sun or blue skies for a few days due to the #CampFire. Might want check your scheduled posts and do some editing. ,2018-11-14 23:56:03,
The camp fire is on the news every morning though.... I watch it at work to get updates ,2018-11-14 23:56:03,
"The Camp fire, the deadliest and most destructive in California history, has now killed 48 people, officials said.  via @HuffPost",2018-11-14 23:55:48,
Death toll from Camp fire in Paradise rises to 48; hundreds still missing ,2018-11-14 23:55:45,
@JerryBrownGov How many days now and still victims of the Camp Fire are in a parking lot!  Do something!,2018-11-14 23:55:37,
"@SenSanders In spite of not being a big Walmart fan, Walmart is hosting thousands of wildfire evacuees from Paradise California from the #campfire wildfire.",2018-11-14 23:55:27,
Look at the smoke guys still about 60 miles from the #campfire ,2018-11-14 23:55:27,
A California woman has taken in a 93-year-old World War II veteran who doesn't know if his home in Paradise is still standing after a deadly wildfire swept through:,2018-11-14 23:55:00,
Feds to Butte County: ‘You’re not going to be able to rebuild Paradise the way it was’ #CampFire #Paradise #CaliforniaWildfires  ,2018-11-14 23:55:00,
PG&amp;E caused the camp fire TOO?!Christ,2018-11-14 23:55:00,
"Community members in Southern #California are rallying around those affected by the #WoolseyFire, offering free services, goods and support.  #CaliforniaFires",2018-11-14 23:54:57,
Thank you @Macys for taking good care of me as I tried to replace necessities I lost in the #campfire and giving me 30% off.,2018-11-14 23:54:50,
"Powerful, moving work on the Camp Fire by what must be many people @sfchronicle. Very grateful to them all for helping us understand what’s happening and how to help. ",2018-11-14 23:54:50,
Chevron Announces $1 Million for California Fire Relief Efforts ,2018-11-14 23:54:46,
"WE SWITCHED THE CAUSE to THE CAMP FIRE for Thurs Nov 15, Pumpkin-Spice at #JohnsonRanchRacquetClub featuring doTerra Oils with Cassandra Stephens (We still have 8 seats left), come to support our cause, chill out,... ",2018-11-14 23:54:39,
Views from SR 70 in eastern Butte County this afternoon of some #CampFire activity and suppression efforts.  SR 70 remains closed at his time.⁦@CaltransHQ⁩ ,2018-11-14 23:54:37,
This pic was taken at 3pm with no filter or alteration. This is how hazy and smoky #Sacramento still is as a result of the nearby #CampFire. I've limited my outdoor exposure this past… ,2018-11-14 23:54:32,
@EpicGames @FortniteGame @Ninja Can we get real life supply drops put together for those affected by the #campfire #Californiawildfires?,2018-11-14 23:54:31,
Nice haul! This is what @theplaningmill in Visalia has collected for those affected by the #CampFire. Other Valley craft beer spots are taking in donations too. @ABC30  ,2018-11-14 23:54:27,
"The search intensified Wednesday for those missing after the #CampFire, which virtually wiped out the town of Paradise. New drone footage of the devastation shows how quickly the fire consumed the town of #Paradise. Home after home was leveled.  #California",2018-11-14 23:54:24,
"My mother and brother were displaced by the #CampFire , their stingy insurance company put them in Corning, an hour away! I motored out to see them and buy them some lunch. ",2018-11-14 23:54:22,
Reduced visibility this afternoon as the #CampFire continues to burn. Make sure to check on sensitive groups! #cawx ,2018-11-14 23:54:15,
Humboldt County fire crews sent to Butte County to help fight Camp Fire ,2018-11-14 23:54:03,
#NEW: This is the property where neighbors tell me 84-year y/o missing person - James Kinner - lived. They’ve been desperately searching for their elderly neighbor who had a hard time breathing and walking. Unfortunately - they have no pics to share. @FOX40 #CampFire #missing ,2018-11-14 23:53:51,
Please consider donating to help fire victims find a place to live. Monies will go directly to people in the shelters who need money for deposits and rent. Camp Fire Housing ,2018-11-14 23:53:50,
"Our Podiatric Medical Mission Association Club is accepting donations of blankets, pillows, toiletries, socks, undergarments, etc. for victims of the Camp Fire now through Nov. 20. Drop off points are available on our Oakland campus. #CampFire ",2018-11-14 23:53:44,
Thank you Devon @BestBuy in Sacramento.  He held my hand through the entire process of replacing my music after the #campfire and he gave me the best discounts he could.  There are still good people  in this world.,2018-11-14 23:53:44,
"We are hundreds of miles away from location The Camp Fire that devastated Paradise and areas of Butte County. Still we are going on day 6 of staying indoors, with a notice from our school… ",2018-11-14 23:53:38,
"#campfire, rebuild fire proof. #aircrete #hempcrete. South African urine/sand concrete",2018-11-14 23:53:31,
Packing for #NCTE18 - how many times in your life can you say your entire wardrobe fits into one suitcase? 😂 #campfire ,2018-11-14 23:53:29,0.0
FIRE RELIEF: CBSLA and the Los Angeles Rams have teamed up with United Way of Greater Los Angeles to raise money for Southern California fire victims  #CBSLA #WOOLSEYFIRE #HILLFIREDonate now: ,2018-11-14 23:53:23,
"The #WoolseyFire resulted in more than a 250,000 evacuations across #LosAngeles and #Ventura counties after igniting on Nov. 8, spreading rapidly over the following days and growing to over 97,000 acres.  #CaliforniaFires",2018-11-14 23:53:13,
Looking for a way to help those affected by The Camp Fire? Adventist Health is taking donations for a relief fund. ,2018-11-14 23:53:10,
Shivering horse found waiting out Camp Fire in backyard pool  via @SFGate,2018-11-14 23:53:09,
VERIFIED INFORMATION AND RESOURCES FOR #CampFire 🔽 via @ChaliceGarden #CampFireJamesWoods #CampFirePets #Chico #ChicoCA #ParadiseFire ,2018-11-14 23:53:04,
Afternoon sun over the lower Skyway near Lookout. #campfire ,2018-11-14 23:53:01,
@Alyssa_Milano any news on your home in the #WoolseyFire still praying your home is intact and will be able to return soon,2018-11-14 23:52:59,
"California: If you were impacted by the wildfires, you can register for FEMA assistance by visiting  or calling 1-800-621-3362. Please have the following information available when you register with us. #HillFire #CampFire #WoolseyFire ",2018-11-14 23:52:58,
@ABC Death toll continues to climb with the Woolsey Fire? Fires in California? Or Camp Fire where the death toll is already 48? Please be specific in your headlines.,2018-11-14 23:52:58,
I didn't realize the magnitude of the flames until a neighbor sent this photo of me. How my house is still standing is a true miracle! Thank you #woolseyfire #firefighters for doing an… ,2018-11-14 23:52:45,
The sky looked like It was on fire tonight on my way home from work and I couldn’t help but think of all of those in CaliforniaPraying for safety for all. And a huge thank you to all of the Firefighters working tirelessly day after day #JustDonated #YouShouldToo #WoolseyFire ,2018-11-14 23:52:44,
"#CaliforniaFires #CAGov#CampFire #Agenda21 Governor, what do you know about it? @JerryBrownGov and what do you plan to do with the #FederalFunds?🌊We are with the Patriots of #California. #MAGAFamily❤️🇺🇸🐘 ",2018-11-14 23:52:40,1.0
"Due to the recent California wildfires, the University of California extending its undergraduate application deadline &amp; grant fee waivers to affected students who are applying this fall. More info at  #CampFire #WoosleyFire #CaliforniaWildfires @VenturaCOE",2018-11-14 23:52:39,
Thank you so much Kristina at @TogosSandwiches - when she heard I am a fire victim from #campfire she bought my sandwich for me.  There are still good people in the world.,2018-11-14 23:52:23,
Paradise Residents Speak Out After Deadly Wildfire Ravages California Town: 'We Have Nothing' ,2018-11-14 23:52:16,
Support your #firefighters. Share &amp; donate if you can. ❤️👩🏻‍🚒👨🏻‍🚒#cdfffbenevolent #calfirelocal2881 #CampFire #WoolseyFire #CALFIREservingCA #wildfire #Paradise #Magalia #Malibu #LA #FirstResponder #FireFamily #NonProfit #ButteCounty #brotherhood ,2018-11-14 23:52:04,0.0
🌑🌚🔥Gone 🔥I'll create new Adel and Maurice 🌟🌟🌟#fire #burned #malibu #woolseyfire #allois7 ,2018-11-14 23:51:58,1.0
Authorities release names of dozens of people missing after California's deadliest wildfire #campfire  via @CBSNews,2018-11-14 23:51:54,
"Thank you to everyone who is working hard at the @CountyofLA Emergency Operations Center, coordinating the flow of critical information and resources in response to the #WoolseyFire. ",2018-11-14 23:51:41,
"Forty-eight deaths have been reported from the ""Camp Fire,"" mostly in the town of Paradise in the hills of northern California, while three people have died in the ""Woolsey Fire"" just north of Los Angeles  ",2018-11-14 23:51:31,
Pacific Gas &amp; Electric stock price tumbles ahead of lawsuit by California fire victims  #lawsuit,2018-11-14 23:51:31,
Northern California Sheriff Releases List of Missing in Wildfires ,2018-11-14 23:51:25,
"Although #WorldKindnessDay2018 was officially recognized yesterday, we in #SouthCity are blessed that our community practices it every day. #ThankYou to our #SSF residents for supporting our neighbors up north who have been affected by the devastating #CampFire in @CountyofButte. ",2018-11-14 23:51:20,
"31 dead, 228 missing, 7,000 structures burned as California blazes grow - ABC News - ",2018-11-14 23:51:19,
"From the #camp fire up in Paradise, CA.  My dear friend Maritza is there helping out.  People are coming together all over, many have lost everything.  If you can find any way to donate to either Paradise or Malibu and Woolsey fires, Please Please... ",2018-11-14 23:51:16,
Wer trying 2 finish up a project outside before Thanksgiving n this is how we have to live😡🤬However we r thankful to b able to do such things.We r praying 4 the missing n families affected#campfire #woosleyfires #CaliforniaFires #CALFIRE #FireSafety #CAShouldSuePGE #despicable ,2018-11-14 23:51:16,0.0
"Thanks to everyone who attended last night’s meeting &amp; watched the live stream. We’re sorting through the questions we received, working on answers to the questions and will start posting them to  as they become available. #Malibu #WoolseyFire #MalibuStrong ",2018-11-14 23:51:13,
