tweet,time,score,human_score
"[as, you're, aware, ,, several, members, of, our, pivot, family, have, been, directly, impacted, by, the, camp, fire, ,, and, several, of, you, have, asked, how, you, can, help, ., the, quickest, way, is, through, the, donation, of, gift, ...]",2018-11-16 23:59:58,,1.0
"[many, #paloalto, residents, are, skipping, their, regular, activities, as, smoky, conditions, caused, by, the, #campfire, nearly, 200, miles, away, persist, on, the, #peninsula, .]",2018-11-16 23:59:57,,0.0
"[the, smoky, skies, over, #riovista, ., our, air, quality, today, is, rated, 230, -, -, unhealthy, for, everyone, ., we're, 2.5, hours, away, from, where, the, #campfire, occurred, .]",2018-11-16 23:59:49,,0.0
"[they've, named, this, burning, camp, fire, ., which, hit, me, so, hard, this, morning, because, i, felt, this, wave, of, depression, ,, and, desperation, ;, of, perseverance, ,, survival, and, fear, ,, and, courage, ,, loss, and, win, ., the, first, thing, that, came, to, my, mind, was, here, to, stay, ., imagine]",2018-11-16 23:59:49,,0.0
"[this, story, is, devastating, ., but, a, beautiful, example, of, the, power, of, audio, :, families, desperately, searching, for, their, loved, ones, after, the, camp, fire]",2018-11-16 23:59:42,,0.0
"[northern, california, air, quality, reaches, dangerous, levels, as, smoke, from, camp, fire, spreads, -, nbc, news]",2018-11-16 23:59:34,,0.0
"[camp, fire, update, in, california, ., aqi, is, 249, today, ., [, pensive, face, ], (, good, aqi, is, 0-50, )]",2018-11-16 23:59:33,0.0,0.0
"[can't, help, but, wonder, whether, the, awful, bay, area, smoke, from, the, #campfire, is, god's, retribution, for, how, aggressively, we, pushed, the, gay, agenda, ., #tcot, #thanksobama, #releasethememo]",2018-11-16 23:59:27,,0.0
"[inside, the, meticulous, work, of, fire, investigations, :, ', it's, not, like, csi, on, tv, ']",2018-11-16 23:59:23,,1.0
"[crews, search, for, california, fire, victims, as, list, of, missing, grows, via]",2018-11-16 23:59:22,,0.0
"[current, situation, in, nor, cal, ., #campfire, #paradise, #buttecounty, #vintagewarehousevwshop, #vintagewarehouse, #topdownmaskup, @, santa, rosa, ,, california]",2018-11-16 23:59:17,,1.0
