tweet,time,score,human_score
"[', he, can, kiss, my, red, ass, ', :, california, fire, evacuees, give, trump, visit, short, shrift]",2018-11-18 23:59:57,,0.0
"[horrific, story]",2018-11-18 23:59:44,,0.0
"[this, article, had, my, anxiety, running, high, and, the, tears, falling, hard, ., i, can't, imagine, the, fear, and, desperation, ., i, can't, imagine, the, horror, ., i, am, so, sorry, california, ., the, entire, country, is, here, to, lift, you, up, #woolseyfire, #campfire]",2018-11-18 23:59:44,,0.0
"[if, you're, missing, #campfire, pets, ,, a, number, of, entities, are, doing, rescues, ., animals, in, shelter, at, the, chico, airport, are, being, listed, here, :]",2018-11-18 23:59:40,,1.0
"[paradise, ,, california, ,, victims, burned, alive, in, cars, as, they, fled, via]",2018-11-18 23:59:35,,0.0
"[a, candle, of, hope, ,, remembrance, &, amp, ;, love, ., sending, aloha, from, maui, ., #paradisestrong, #paradiseproud, #paradisefire, #campfire, #paradiseca, #magalia]",2018-11-18 23:59:31,,1.0
"[people, from, finland, collectively, said, excuse, me, ?, after, trump, said, the, country, rakes, its, forest, to, prevent, fires, via]",2018-11-18 23:59:28,,0.0
"[93, -, year-old, self-evacuating, from, the, camp, fire, rescued, by, her, garbageman]",2018-11-18 23:59:19,,1.0
"[people, in, finland, are, confused, by, trump, saying, they, rake, their, forests]",2018-11-18 23:59:13,,1.0
"[', hell, on, earth, ', :, the, first, 12, hours, of, california's, deadliest, wildfire]",2018-11-18 23:59:11,,0.0
"[california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times]",2018-11-18 23:59:10,,0.0
"[day, 11, :, camp, fire, containment, up, to, 60, percent]",2018-11-18 23:59:08,,1.0
"[her, missing, uncle, may, have, died, in, a, california, wildfire, ., her, family, can, only, wait, for, ', good, or, bad, news, ', :, sadia, quint, has, every, indication, her, uncle, has, perished, in, the, camp, fire, ., but, no, one, can, tell, her, for, sure, .]",2018-11-18 23:59:04,,0.0
"[sac, state, is, closed, for, a, second, week, due, to, #campfire, and, the, bad, air, quality, .]",2018-11-18 23:59:04,,0.0
"[the, #campfire, animals, need, help, too, .]",2018-11-18 23:59:00,,0.0
"[camp, fire, survivors, are, now, refugees, in, their, own, country]",2018-11-18 23:58:50,,0.0
"[btw, ,, this, is, especially, annoying, when, we, have, our, own, homeless, caravan, from, people, displaced, by, the, camp, fire, [, fire, ], ., those, folks, ,, many, senior, citizens, are, being, thrown, out, of, their, temp, camp, in, the, chico, walmart, ., sickening, and, where's, our, ca, leadership, for, that, ?, ?, ?, unreal]",2018-11-18 23:58:46,1.0,0.0
"[#campfire, is, 500, miles, north, of, la, ,, for, what, it's, worth, -, the, hill, fire, and, woolsey, fire, were, awful, in, their, own, ways, ,, but, the, camp, fire, is, the, one, that, has, 76, confirmed, fatalities, and, destroyed, over, 10,000, buildings, .]",2018-11-18 23:58:43,,0.0
"[gosh, ,, there's, something, in, my, eye, again, .]",2018-11-18 23:58:39,,0.0
"[help, if, you, can, ,, because, help, is, needed, !, !, #campfire, #californiafires]",2018-11-18 23:58:36,,1.0
"[camp, fire, 11/8-, 11/18, see, active, fires, at]",2018-11-18 23:58:18,,0.0
"[ca, :, camp, fire, death, toll, rises, to, 76]",2018-11-18 23:58:14,,0.0
"[eyewitness, barely, makes, it, out, alive, in, california, fire, storm, by, american, intelligence, media]",2018-11-18 23:58:12,,0.0
"[this, is, so, wrong, !, will, allow, pg, &, amp, ;, e, to, pass, #campfire, costs, on, to, consumers, ., _cgfx, _]",2018-11-18 23:57:59,,0.0
"[fucking, goosebumps, reading, how, everything, in, paradise, happened, ., sounded, horrifying, .]",2018-11-18 23:57:55,,0.0
"[heartbroken, for, california, ., this, is, extraordinary, writing, /, reporting, ., just, bone, chilling, ., the, world, is, a, scary, place, right, now, ., we, gotta, look, after, one, another, [, heavy, black, heart, ], [, ?, ]]",2018-11-18 23:57:51,1.0,0.0
"[', for, those, we, have, lost, ', :, vigil, to, honor, victims, of, camp, fire]",2018-11-18 23:57:51,,0.0
"[this, one, has, pg, &, amp, ;, e, stating, that, there, was, a, problem, with, a, transmission, line, in, the, area, of, the, camp, fire, ., it's, a, long, article, .]",2018-11-18 23:57:28,,0.0
"[[, ?, ], ., [, ?, ], [, ?, ], cancels, classes, as, smoke, from, camp, fire, lingers, heavy, in, the, valley]",2018-11-18 23:57:27,,0.0
"[the, catastrophic, #campfire, isn't, even, halfway, done, burning, ,, officials, predict]",2018-11-18 23:57:06,,0.0
"[illegal, immigrants, tent, city, vs, ., california, fire, victims, tent, accommodations, .]",2018-11-18 23:56:46,,0.0
"[california, camp, fire, ravages, town, of, paradise, ,, but, family, dog, survives]",2018-11-18 23:56:45,,1.0
"[well, it, took, a, week, or, so, but, i, finally, saw, a, news, program, use, paradise, lost, as, the, title, for, their, camp, fire, story]",2018-11-18 23:56:43,,0.0
"[she, couldn't, get, home, from, work, to, save, her, baby, ., have, you, seen, him, ?, more, info, on, link, :, #campfire, #campfirepets, #paradiseca]",2018-11-18 23:56:37,,0.0
"[any, news, on, splinter, ?, #splinter, #campfire, #paradise, #campfirepets]",2018-11-18 23:56:37,,0.0
"[still, so, much, smoke, in, the, air, from, the, #campfire, #prayforrain, #prayforcalifornia, @, cool, ,, california]",2018-11-18 23:56:37,,0.0
"[how, californians, are, breathing, in, the, ', new, abnormal, ', of, epic, fires]",2018-11-18 23:56:36,,0.0
"[i, have, 6, #campfire, foster, dogs, who, need, forever, homes, ., their, foster, families, in, paradise, lost, their, homes, ., they're, all, doing, really, well, with, their, foster, families, in, the, bay, area, ., dm, me, for, more, photos, and, info, ., please, share, !, #rescuedog, #fosterdog]",2018-11-18 23:56:35,,1.0
"[#campfire, (, artist, instagram, :, @, sun_poured, )]",2018-11-18 23:56:27,,1.0
"[if, you'd, like, to, find, some, way, to, be, present, at, the, vigil, but, for, some, reason, cannot, make, it, physically, ,, here's, one, way, to, participate, -, this, is, the, live, stream, of, the, event, .., #campfire]",2018-11-18 23:56:14,,1.0
"[keep, going, for, the, truth, ., i, think, you, are, really, handling, it, with, audacity, and, dignity, ., #missinglist, #campfire]",2018-11-18 23:56:07,,1.0
"[camp, fire, /, woolsey, fire, relief]",2018-11-18 23:55:50,,1.0
"[[, large, red, circle, ], evening, update, ., sunday, night, at, distribution, center, #campfire]",2018-11-18 23:55:43,,1.0
"[this, story, ,, my, god, ., god, bless, these, people, and, these, first, responders, and, the, woman, in, labor, whom, i'll, not, forget, ., and, god, help, us, all, .]",2018-11-18 23:55:32,,1.0
"[california, camp, fire, ravages, town, of, paradise, ,, but, family, dog, survives]",2018-11-18 23:55:25,,1.0
"[i, am, so, very, sorry, for, your, loss, ., i, too, have, loved, ones, who, lost, all, in, paradise, ., sad, beyond, words, ., #campfire]",2018-11-18 23:55:20,,0.0
"[california, camp, fire, ravages, town, of, paradise, ,, but, family, dog, survives, #news]",2018-11-18 23:55:20,,1.0
"[we, are, praying, for, everyone, in, the, #californiafires, here, at, today, ., more, and, more, bad, news, keeps, coming, ., feeling, the, weight, of, the, loss, today, !, ', hell, on, earth, ', :, the, first, 12, hours, of, california's, deadliest, wildfire]",2018-11-18 23:55:17,,1.0
"[could, you, foster, an, elderly, person, or, two, ?, of, course, you, can, and, here's, how, ..., #campfirejameswoods, #disasterassistteam, #eldercare, ...]",2018-11-18 23:55:16,,1.0
"[more, than, 1,200, still, missing, in, california's, camp, fire, ., read, more, :]",2018-11-18 23:55:13,,0.0
"[some, relief, coming, in, northern, california, #campfire]",2018-11-18 23:55:09,,1.0
"[camp, fire, death, toll, climbs, to, 76]",2018-11-18 23:55:06,,
"[the, clock, is, 3, minutes, to, dooms, dayrussiachinas, ., arabiasyriaturkeyvenezuelamexicopacific, rimjapann, ., koreatusanmiheat, wavescalifornia, firepolar, glacial, meltsair, pollutionearthquakeoill, spillsebolaswine, flusuper, bugssalmonellahumanity, get, ready, for, extinction]",2018-11-18 23:55:06,,
"[camp, fire, :, containment, rises, to, 60, percent, ;, 149,500, acres, burned, ., via]",2018-11-18 23:55:03,,
"[after, the, camp, fire, :, how, does, a, mayor, rebuild, paradise, when, all, seems, lost, ?, -, the, mercury, news]",2018-11-18 23:55:02,,
"[visted, la, last, wk, during, the, fires, ,, fortunate, enough, to, only, smell, smoke, in, the, air, ., ppl, in, la, were, absolutely, lovely, &, amp, ;, take, pride, in, their, natural, surroundings, ., heartbreaking, how, much, they've, lost, #campfire, #paradisefire]",2018-11-18 23:54:55,,
"[officials, help, relocate, camp, fire, survivors, from, chico, walmart, to, shelter, (, via, abc, 10, )]",2018-11-18 23:54:53,,
"[heartbreaking, ., [, broken, heart, ], [, broken, heart, ], [, broken, heart, ], [, broken, heart, ], ., california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times]",2018-11-18 23:54:52,0.0,
"[psa, from, asshat, trump, ., #notmypresident, #californiawildfires, #campfire, #californiafires, #californiafire, #woosleyfire]",2018-11-18 23:54:29,,
"[malibu, canyon, to, pch, pit, stop, at, starbucks, to, winding, way, #woolseyfire, #malibufire]",2018-11-18 23:54:21,,
"[california, fire, :, what, is, the, impact, on, health, in, the, long, run, ?, (, medpage, today, ), -, -, there, is, simply, no, precedent, for, this, ,, expert, says, at, acaai, annual, meeting]",2018-11-18 23:54:17,,
"[over, a, thousand, people, missing, from, the, fires, in, california, !]",2018-11-18 23:54:11,,
"[break, news, :, california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:54:08,,
"[this, piece, is, exceptional, ,, remarkable, ,, horrifying, journalism, .]",2018-11-18 23:54:01,,
"[california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:53:46,,
"[top, story, :, california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:53:45,,
"[#woolseyfire, is, also, still, burning, ., please, do, whatever, you, can, to, help, .]",2018-11-18 23:53:44,,
"[top, story, :, california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:53:37,,
"[california, wildfires, out, of, control, ., condolences, to, all, victims, !, #woolseyfire]",2018-11-18 23:53:34,,
"[what, a, #thread, to, read, ., wow, ., #campfire]",2018-11-18 23:53:33,,
"[top, story, :, california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:53:31,,
"[top, story, :, california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:53:31,,
"[7, day, ncep, wpc, totals, for, california, are, finally, starting, to, look, like, november, to, the, tune, of, 3.78, trillion, gallons, of, precipitation, possible, ,, most, of, that, falling, in, northern, california, ,, including, a, considerable, amount, near, the, #campfire, and, #carrfire, burn, areas, #cawx]",2018-11-18 23:53:30,,
"[top, story, :, california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:53:21,,
"[watch, the, #campfire, vigil, at, the, link, below, ., we'll, have, coverage, on, at, 5pm, .]",2018-11-18 23:53:20,,
"[', he, can, kiss, my, red, ass, ', :, california, fire, evacuees, give, trump, visit, short, shrift]",2018-11-18 23:53:18,,
"[top, story, :, california, fire, :, what, started, as, a, tiny, brush, fire, became, the, state's, deadliest, wildfire, ., here's, how, -, los, angeles, times, see, more]",2018-11-18 23:53:18,,
"[#paradise, #campfire, #dew, #directedenergyweapon, #agenda21, exclusive, interview, with, fire, captain, on, origins, of, ca, fires]",2018-11-18 23:53:10,,
"[#paradise, #campfire, #dew, #directedenergyweapon, #agenda21, plan, to, burn, up, northern, california, disclosed]",2018-11-18 23:53:09,,
"[california, fire, :, what, is, the, impact, on, health, in, the, long, run, ?]",2018-11-18 23:53:02,,
"[man, finds, engagement, ring, in, rubble, after, california, camp, fire, destroys, home]",2018-11-18 23:52:54,,
"[uh, oh, .]",2018-11-18 23:52:28,,
"[let's, hope, is, ok, ,, everyone, of, these, cats, is, important, ., only, 1, lion, remains, missing, in, santa, monica, mountains, following, #woolseyfire, -, the, only, #mountainlion, still, ...]",2018-11-18 23:52:13,,
"[marin, strike, team, 2808, -, a, has, returned, home, from, the, #campfire, safe, ., we, appreciate, the, service, and, sacrifice, of, our, firefighters, and, mourn, the, terrible, losses, of, this, tragic, fire, ....]",2018-11-18 23:52:12,,
"[_73, california, fire, !, you, guys, are, in, americas, prayers, hourly, .]",2018-11-18 23:52:11,,
