tweet,time,score,human_score
"[california, thanks, texas, firefighters, for, your, assistance, !, #tuffviking, #traveltexas, #hillfire, #woolseyfire, #californiafires, #campfire, #lafd, #mondaythoughts, #malibufire, #socalfires, [, regional, indicator, symbol, letter, u, ], [, regional, indicator, symbol, letter, s, ], ...]",2018-11-12 23:59:59,,1.0
"[#repost, [, katakana, middle, dot, ], [, katakana, middle, dot, ], [, katakana, middle, dot, ], we, are, heartbroken, for, the, victims, of, the, camp, fire, ., sabio, lunch, starts, wednesday, nov, 14, ,, and, we, are, donating, 100, %, of, our, first, two, weeks, lunch, sales, to, the, ...]",2018-11-12 23:59:59,,1.0
"[oroville, dam, ., there, was, already, a, small, blaze, on, finger, of, north, side, of, the, lake, ., construction, crews, were, sent, home, ., it, is, the, world's, tallest, dam, ,, we, just, rebuilt, it, for, $, 1, billion, ., at, risk, due, to, #campfirebut, that, beto, ..., apparently, really, monopolizes, centrist, imagination, .]",2018-11-12 23:59:58,,1.0
"[beloved, music, teacher, from, san, francisco, ,, 63, ,, killed, in, camp, fire, .]",2018-11-12 23:59:54,,0.0
"[_gergen, after, hearing, report, from, the, woman, who, was, stuck, in, her, car, surrounded, by, the, camp, fire, flames, ,, talking, 2, her, husband, saying, she, wasn't, going, to, make, it, ,, and, then, hearing, trump, blame, the, wildfires, on, ca, -, i, wanted, to, scream, &, amp, ;, cry, ., sorry, ,, but, i, do, now, truly, hate, president, trump, .]",2018-11-12 23:59:52,,0.0
"[gerard, butler, posts, photo, of, his, burnt, house, in, california, wildfires]",2018-11-12 23:59:51,,0.0
"[#woolseyfire, so, california, is, burning, up, the, homes, of, american's, to, get, federal, funds, to, accept, more, illegal, aliens, !, folks, ,, wake, up, !, #mondaymotivation]",2018-11-12 23:59:44,,0.0
"[trump, insults, 31, dead, californians, with, disgraceful, response, to, fires, #peakfire, arlington, cemetery, #veteransday18, #fbr, #theresistance, #trumprussia, #fbrparty, #trumprussia, #resist, #pru]",2018-11-12 23:59:43,,0.0
"[and, this, how, california, fire, started]",2018-11-12 23:59:43,,1.0
"[you, know, this, wasn't, caused, by, a, camp, fire, right, ?, it's, called, camp, fire, because, it, was, started, on, camp, road, .]",2018-11-12 23:59:41,,1.0
"[our, friends, at, are, organizing, relief, efforts, for, the, victims, of, the, recent, wildfires, in, california, ., they're, accepting, donations, until, thursday, at, any, of, their, 5, offices, and, will, be, driving, items, out, on, friday, ., let's, #fillthosetrucks]",2018-11-12 23:59:40,,1.0
"[california, wildfires, live, updates, :, massive, blazes, grow, as, 2, new, fires, break, out, ;, dozens, remain, unaccounted, for, ...]",2018-11-12 23:59:03,,0.0
"[california, wildfires, live, updates, :, massive, blazes, grow, as, 2, new, fires, break, out, ;, dozens, remain, unaccounted, for]",2018-11-12 23:58:58,,0.0
"[devastating, news, #campfire, #californiafires, #californiawildfires]",2018-11-12 23:58:55,,0.0
"[several, reports, of, it, being, on, the, north, bound, lane, side, ., unit, is, enroute, to, investigate, ., possibly, around, cheseboro, #woolseyfire, #lacounty]",2018-11-12 23:58:50,,1.0
"[updated, he's, been, reunited, with, his, family, [, heavy, black, heart, ], [, heavy, black, heart, ], #campfire, #paradisefire, #paradise]",2018-11-12 23:58:49,1.0,1.0
"[celebrities, and, their, homes, affected, by, malibu, fire, include, butler, ,, thicke, and, others, |, cbc, news]",2018-11-12 23:58:44,,0.0
"[amain, employees, need, your, help, !, amain, is, setting, up, a, fund, for, employees, recently, displaced, by, the, camp, fire, ., owners, kelly, bennett, and, kendall, bennett, will, match, donations, up, to, $, 50,000, ., please, view, the, link, for, more, information, ., #campfire]",2018-11-12 23:58:37,,1.0
"[what, to, do, when, dealing, with, an, insurer, after, your, home, catches, fire]",2018-11-12 23:58:34,,1.0
