tweet,time,score,human_score
"[trump, is, wrong, about, what, is, causing, the, devastating, fires, in, california, .]",2018-11-13 23:59:59,,0.0
"[#campfirejameswoods, #campfire, well, that's, just, lovely]",2018-11-13 23:59:52,,1.0
"[shivering, horse, found, waiting, out, camp, fire, in, backyard, pool, via]",2018-11-13 23:59:47,,0.0
"[watch, &, amp, ;, share, this, video, to, learn, about, the, potential, dangers, of, the, smoke, from, the, #woolseyfire, ., it, started, at, a, former, nuclear, testing, site, which, parents, believe, has, given, 50, +, children, cancer, -, and, now, the, chemicals, from, that, site, could, be, in, the, smoke, :]",2018-11-13 23:59:39,,0.0
"[burned, out, of, paradise, -, chris, hughes, ,, born, and, brought, up, in, the, city, of, paradise, ,, calif, ., ,, has, no, home, left, after, the, #campfire, ., but, he's, not, giving, up, hope, ., #paradisestrong]",2018-11-13 23:59:36,,0.0
"[here's, what, new, vegetation, types, have, burned, in, the, camp, fire, and, woolsey, &, amp, ;, hill, fires, ., it's, not, just, about, forest, management, ,, or, even, just, about, forests, ,, and, there, are, no, easy, solutions, here, ., #campfire, #woolseyfire, (, updated, tweet, with, a, repaired, version, of, the, woolsey, map, )]",2018-11-13 23:59:31,,0.0
"[the, lawsuit, is, one, of, what, will, likely, be, multiple, legal, attempts, to, hold, pg, &, amp, ;, e, responsible, for, the, historic, #campfire, disaster, ,, reports, .]",2018-11-13 23:59:28,,1.0
"[an, important, message, related, to, the, #woolseyfire, -, kindly, share, ..., #chatsworth, #westhills, #woodlandhills, #bellcanyon, #santasusana, #santasusanapass, #simivalley, #sanfernandovalley, #sfv, #losangelescounty, #venturacounty]",2018-11-13 23:59:26,,1.0
"[owners, search, 4pets, lost, in, ca, wildfires, no, one, is, forced, 2leave, their, pets, behind, ., do, not, leave, them, ., period, !, rescue, groups, will, help, evacuate, animals, ., don't, leave, them, to, die, a, horrible, death, ., #woolseyfire, #malibufire, #cawildfire, #dontleaveanimalsbehind]",2018-11-13 23:59:25,,0.0
"[can't, see, much, of, the, sun, with, all, the, smoke, &, amp, ;, high, clouds, around, ., #abc7now, #whereyoulive, #campfire]",2018-11-13 23:59:22,,0.0
"[toyota, offers, to, give, camp, fire, hero, nurse, a, new, truck]",2018-11-13 23:59:16,,1.0
"[new, satellite, imagery, from, shows, the, extent, of, the, #woolseyfire, ,, one, of, the, largest, fires, to, hit, l, ., a, ., county, :]",2018-11-13 23:59:11,,0.0
"[after, the, flames, ,, california, recovery, crews, face, grim, search, for, victims, :, in, california, ,, the, effort, to, control, two, major, wildfires, remains, a, struggle, ., northern, california's, camp, fire, has, become, the, deadliest, fire, in, the, state's, history, ,, claiming, at, least, ...]",2018-11-13 23:59:09,,0.0
"[follow, link, and, click, on, shelters, ., hope, that, helps, ., #campfire]",2018-11-13 23:59:08,,1.0
"[in, #westlakevillage, is, donating, 100, %, of, proceeds, to, the, in, order, to, help, those, affected, by, events, in, #thousandoaks, !, #woolseyfire, #thousandoaksstrong, @, shake, shack]",2018-11-13 23:59:07,,1.0
"[#campfire, #campfireparadise, #campfirejameswoods, used, scrubs, are, needed, ., see, video, for, more, info, ., thank, you, !]",2018-11-13 23:59:01,,1.0
"[pls, share, #campfire, #campfirepets]",2018-11-13 23:58:41,,1.0
"[help, support, the, bcso, staff, that, lost, their, homes, in, the, #campfire]",2018-11-13 23:58:40,,1.0
"[gracias, ,, amiga, ,, for, your, help, w, /, videos, !, i'm, overwhelmed, by, the, kind, notes, i've, received, from, the, community, &, amp, ;, colleagues, for, the, story, i, wrote, about, john, warner's, agonizing, search, for, his, grandparents, after, #campfire, ., i, hope, the, story, gives, people, searching, for, loved, ones, hope, ., [, heavy, black, heart, ], [, ?, ]]",2018-11-13 23:58:39,1.0,1.0
"[., is, hosting, a, donation, drive, ., they're, also, accepting, shipments, #woolseyfire, #madeforgiving]",2018-11-13 23:58:34,,1.0
"[gonna, name, my, next, rescue, dog, fozcheck, ., #woolseyfire, #lakesherwood]",2018-11-13 23:58:34,,1.0
"[california, wildfires, updates, :, 42, dead, in, camp, fire, ,, toll, expected, to, rise, ., 200, in, paradise, unaccounted, for, .]",2018-11-13 23:58:32,,0.0
"[#campfire, poses, no, threat, to, #orovilledam, ., details, at, -, -, >]",2018-11-13 23:58:22,,1.0
"[garbageman, pulls, 93, -, year-old, into, truck, as, camp, fire, spreads]",2018-11-13 23:58:18,,1.0
"[#campfire, so, fema, opens, up, for, applications, today, ., my, daughter, completes, her, application, only, to, find, out, that, if, you, have, any, sort, of, insurance, even, partial, renters, insurance, (, what, she, had, ), fema, will, refuse, any, sort, of, assistance, .]",2018-11-13 23:58:18,,0.0
"[#woolseyfire, my, home, in, malbu, has, burned, down, from, the, southern, california, fires, ., my, family, and, i, are, safe]",2018-11-13 23:58:16,,1.0
"[horse, found, in, swimming, pool, after, seeking, refuge, from, camp, fire]",2018-11-13 23:58:09,,1.0
"[an, important, message, related, to, the, #woolseyfire, -, please, share, ..., #chatsworth, #westhills, #woodlandhills, #bellcanyon, #santasusana, #santasusanapass, #simivalley, #sanfernandovalley, #sfv, #losangelescounty, #venturacounty]",2018-11-13 23:58:01,,1.0
