tweet,time,score,human_score
"[bonus, boat, pic, !, surprised, the, ships, aren't, slamming, into, each, other, ., #sfbay, #sf, #boat, #ship, #afternoon, #smoke, #calfire, #campfire]",2018-11-15 23:59:58,,1.0
"[a, new, misery, for, camp, fire, survivors, as, a, norovirus, outbreak, hits, a, shelter]",2018-11-15 23:59:53,,0.0
"[difficult, and, important, reporting, by, and, the, rest, of, the, team, at, usa, today, :, the, long, ,, hard, process, of, identifying, the, dead, in, california's, deadliest, wildfire, via]",2018-11-15 23:59:53,,0.0
"[from, everyone, here, at, travis, black, and, associates, our, thoughts, and, prayers, go, out, to, all, those, effected, by, the, camp, fire, ., we, want, to, thank, all, those, who, have, helped, ,, whether, you're, a, first, responder, ,, a, volunteer, ,, or, if, your, donating, ...]",2018-11-15 23:59:49,,1.0
"[#campfiremissing, #campfire, #campfireparadise, #missing, #campfirejameswoods, 7, days, missing, !, timothy, kolouski, ,, (, deaf, but, reads, lips, ), ,, poc, :, linda, brewer, 562-210-6824, or, private, ., com, ., not, reg, red, cross, ., help, find, .]",2018-11-15 23:59:45,,0.0
"[a, new, misery, for, camp, fire, survivors, as, a, norovirus, outbreak, hits, a, shelter]",2018-11-15 23:59:42,,0.0
"[_9, this, didn't, start, as, a, campfire, ., it's, named, for, the, road, near, where, it, started, -, camp, creek, road, ., the, *, camp, *, fire, for, short, .]",2018-11-15 23:59:42,,1.0
"[#wildfire, smoke, from, the, #campfire, looking, more, like, tule, fog, in, sacramento, ,, california, this, afternoon, ., #cawx]",2018-11-15 23:59:40,,0.0
"[from, norwalk, to, bondurant, ,, west, des, moines, to, altoona, and, everything, in, between, ,, this, special, illustrates, the, scope, of, what, firefighters, are, facing, in, just, one, of, 15, california, wildfires, right, now, ..., wild, .]",2018-11-15 23:59:36,,0.0
"[camp, fire, :, smoke, triggers, bay, area, air, quality, warnings, -, the, mercury, news]",2018-11-15 23:59:30,,0.0
"[bay, area's, smoky, air, conditions, force, event, cancellations, ,, campus, closures]",2018-11-15 23:59:29,,0.0
"[it's, hard, to, capture, via, iphone, just, how, bad, the, smoke, is, ,, but, even, in, chico, -, a, dozen, or, more, miles, away, from, the, camp, fire, now, -, lamp, and, car, lights, come, on, in, the, middle, of, the, day, &, amp, ;, visibility, is, at, 2-3, blocks]",2018-11-15 23:59:28,,0.0
"[_pa28181, _hugh_jass, _mom_up, _yardo, _kspain593, _yoda, i'd, rather, be, dealing, with, that, right, now, ., kinda, reminds, me, of, home, ., the, air, quality, here, from, the, camp, fire, ?, not, so, much, .]",2018-11-15 23:59:26,,0.0
"[friday, nights, @, omca, outdoor, programming, has, been, canceled, due, to, poor, air, quality, conditions, from, the, camp, fire, ,, including, food, trucks, ., all, galleries, and, exhibitions, will, remain, open, until, 9, pm, ,, air, quality, permitting, ., for, more, information, ,, visit]",2018-11-15 23:59:25,,0.0
"[before, and, after, pictures, of, #oakland, ., #californiawildfire, #californiafires, #campfire, #airquality, #sfbayarea]",2018-11-15 23:59:25,,0.0
"[hearing, fire, officials, refer, to, entire, towns, as, leveled, post-camp, fire, crossed, wires, in, 2, of, glow, is, a, very, good, time, !]",2018-11-15 23:59:17,,0.0
"[thousands, of, animals, need, emergency, care, after, the, #campfire, devastated, butte, county, ,, ca, ., i'm, helping, raise, the, funds, needed, to, rescue, animals, and, provide, aid, to, communities, recovering, from, disaster, ., will, you, join, us, ?]",2018-11-15 23:59:17,,0.0
"[., current, air, quality, in, san, jose, is, about, the, same, as, in, beijing, ., [, face, with, medical, mask, ], [, grimacing, face, ], #campfire]",2018-11-15 23:59:16,0.0,0.0
"[the, air, quality, in, the, bay, is, comparable, to, bejing, and, delhi, ., remind, me, never, to, go, to, those, places, ., #campfire]",2018-11-15 23:59:12,,0.0
"[spread, some, love, to, the, norcal, fire, victims, right, now, ,, i, know, the, one, in, socal, is, really, bad, too, ,, but, we, need, your, love, and, prayers, just, as, much, ,, even, if, we, aren't, on, the, media, equally, ., the, camp, fire, has, had, almost, 50, fatalities, ...., so, far, and, countless, others, missing, .]",2018-11-15 23:59:02,,1.0
