tweet,time,score,human_score
"[deep, thoughts, ., (, just, kidding, ), ., more, smug, ,, incomprehensible, hyperbole, ., residents, disappointed, in, no, offering, of, paper, towels, ., not, even, water, balloons, or, rakes, ., just, the, place, smelling, a, lot, worse, than, it, did, ., #campfire, #paradise, #chico, #trump, #jerrybrown, #californiawildfires]",2018-11-17 23:59:58,,0.0
"[', he, can, kiss, my, red, ass, ', :, california, fire, evacuees, give, trump, visit, short, shrift]",2018-11-17 23:59:56,,0.0
"[join, us, after, the, game, on, for, more, on, president, ', s, visit, to, the, #campfire, disaster, zone, ., trump, got, mix, reaction, from, crowds, who, lined, the, street, to, watch, his, motorcade, in, #chico, .]",2018-11-17 23:59:56,,1.0
"[the, one, saving, grace, of, natural, disaster, is, that, it, often, brings, out, the, very, best, in, people, ,, and, pets, alike, ., perhaps, ,, there, is, hope, after, all, for, the, befouled, species, that, we, refer, to, as, humans, ..]",2018-11-17 23:59:49,,1.0
"[neil, young, has, lost, his, house, to, ', another, ', california, fire, yet, firefighters, have, never, seen, anything, like, this, in, their, lives, ., so, this, has, been, seen, before, ., then, we, are, talking, onlly, quantum, ., and, yes, ,, this, needs, better, forest, management, ,, loath, tho, i, am, to, agree, with, trump, .]",2018-11-17 23:59:48,,0.0
"[', very, sad, to, see, ', :, trump, visits, paradise, lost, by, california, fire]",2018-11-17 23:59:45,,0.0
"[someone, show, trump, a, map, of, where, finland, is, !, !, !, not, exactly, california, weather, or, conditions, ., #rakeamericagreatagain, #raketheforest, #wildfires, #campfire]",2018-11-17 23:59:31,,1.0
"[i, had, exclusive, access, to, reveal, ,, for, the, first, time, ,, the, horrific, damage, done, to, hundreds, of, homes, in, malibu, as, a, result, of, the, #woolseyfire, ., see, the, entire, story, @]",2018-11-17 23:59:26,,0.0
"[a, very, well-done, diary, of, one, person's, experiences, from, her, viewpoint, as, a, paradise, resident, ,, w, /, photos, ., when, guy, fieri, shows, up, ,, you, know, the, disaster, is, serious, -, my, life, in, the, camp, fire]",2018-11-17 23:59:14,,1.0
"[how, californians, are, breathing, in, the, new, abnormal, of, epic, fires]",2018-11-17 23:59:05,,0.0
"[my, daughter, lost, her, home, from, the, paradise, camp, fire, ,, we'd, appreciate, it, if, you, can, donate, anything, ,, thank, you, [, smiling, face, with, smiling, eyes, ], [, person, with, folded, hands, ], [, emoji, modifier, fitzpatrick, type, -1-2, ]]",2018-11-17 23:58:56,1.0,0.0
"[camp, fire, survivors, are, now, refugees, in, their, own, country-this, hurts, that's, it's, happening, ., it's, so, heartbreaking]",2018-11-17 23:58:46,,0.0
"[#gop, overt, prejudice, against, the, people, of, california, :, #campfire, #paradisefire, #woolseyfire, #climatechange, #voteblue2020, to, limit, petty, #corruptgop, power, plays, .]",2018-11-17 23:58:40,,1.0
"[dear, mr, ., ,, says, you, told, him, you, sweep, the, floors, of, your, forests, in, finland, to, keep, them, from, burning, down, ., is, that, true, ?, asking, for, americas, who, think, he's, a, liar, and, a, moron, ., #campfire]",2018-11-17 23:58:37,,0.0
"[any, local, brewers, want, to, jump, in, on, this, ?, #campfire, #ridgestrong, #resilience]",2018-11-17 23:58:35,,1.0
"[dog, found, ', protecting, the, only, house, left, on, the, block, ', after, camp, fire, in, paradise, via]",2018-11-17 23:58:33,,0.0
"[camp, fire, survivors, are, now, refugees, in, their, own, country]",2018-11-17 23:58:30,,0.0
"[cathy, ,, we, want, to, ensure, that, everyone, impacted, by, the, camp, fire, has, the, services, &, amp, ;, care, they, need, during, these, trying, times, ., we, encourage, everyone, to, cooperate, with, the, county, and, other, local, organizations, to, transition, to, dedicated, shelters, where, those, resources, are, available, .]",2018-11-17 23:58:28,,1.0
"[#campfire, #notmypotus, sadly, the, photo, does, not, include, the, c, -, 130s, carrying, the, rakes, to, be, given, to, those, devastated, by, tragedy, that, now, need, to, go, out, and, rake, the, forest, ., thank, you, potus, for, not, saying, one, word, of, condolence, to, those, deceased, and, missing, .]",2018-11-17 23:58:25,,0.0
"[#campfirejameswoods, #campfire, #campfirepets, #paradise, #paradisefires, #californiafires, #californiawildfires, #cafires, #buttecounty, #buttecountyfire, #buttecountystrong, #chico, #socalfiresjameswoods, remember, ,, your, pet, may, look, totally, different, due, to, the, fire, ., take, time-look, close, !]",2018-11-17 23:58:22,,1.0
"[evacuees, from, #campfire, built, a, community, in, chico, #walmart, parking, lot, ., officials, are, nudging, them, out, to, real, shelters, by, tomorrow, though, ,, and, toilets, ,, food, trucks, and, other, services, will, be, gone, .]",2018-11-17 23:58:13,,0.0
"[surviving, the, camp, fire, was, hard, enough, ., now, these, animals, have, to, find, their, humans, .]",2018-11-17 23:58:06,,0.0
"[cat, reunion, after, california, fire, :, via]",2018-11-17 23:58:06,,1.0
"[these, 29, unclaimed, animals, were, rescued, from, the, camp, fire, and, brought, to, uc, davis, for, veterinary, care, ., link, in, the, article, for, claiming, a, pet, from, them, ., #californiawildfires, #californiafiresplease, retweet, ., thanks, .]",2018-11-17 23:58:01,,1.0
"[trump, denies, climate, change, role, in, camp, fire, ,, suggests, raking, leaves, is, bigger, problem]",2018-11-17 23:57:40,,1.0
"[pg, &, amp, ;, e, recorded, an, incident, early, thurs, on, a, major, electrical, transmission, line, .., just, minutes, before, the, reported, start, of, the, camp, fire, ., hours, before, the, fire, ,, pg, &, amp, ;, e, announced, it, would, cancel, a, service, suspension, to, some, households, as, an, anti-fire, measure]",2018-11-17 23:57:30,,1.0
"[1000, #peoplemissing, amidst, #california's, #campfire, #campfirejameswoods, #news]",2018-11-17 23:57:27,,0.0
"[in, his, talk, of, raking, and, finland, ,, he, hadn't, mentioned, the, 71, victims, of, the, #campfire, ., not, ., one, ., time, ., he's, not, going, to, meet, with, survivors, ., are, you, kidding, me, ?, #maga, #kag]",2018-11-17 23:57:23,,0.0
"[surviving, the, camp, fire, was, hard, enough, ., now, these, animals, have, to, find, their, humans, .]",2018-11-17 23:57:22,,0.0
"[please, donate, here, for, #campfire, red, cross, is, amazing, my, car, burnt, down, in, sept, ., and, they, instantly, helped, me, out, cs, u, know, am, homeless, ., way, better, than, fema, ., they, are, currupt, ., #haiti, [, heart, with, arrow, ]]",2018-11-17 23:57:20,1.0,0.0
"[if, anyone, had, their, #horses, evac'd, who, ended, up, a, long, ways, away, but, think, theres, no, other, option, ?, yes, there, is, ..., this, place, !, it's, about, an, hour, from, butte, &, amp, ;, these, guys, are, great, ., they've, got, room, &, amp, ;, transport, if, needed, !, #paradisefire, #campfire, #campfirepets, #stirling]",2018-11-17 23:57:04,,1.0
"[no, ,, no, i, have, a, strong, opinion, ., i, want, a, great, climate, ., we're, going, to, have, that, ,, and, we, are, going, to, have, that, are, very, safe, because, we, can't, go, through, this, ., -, djt, on, camp, fire, [, angry, face, ], the, climate, is, not, going, to, be, great, ., i, am, sad, our, children, will, inherit, this, .]",2018-11-17 23:57:01,0.0,1.0
"[when, asked, about, the, president's, visit, to, the, area, ,, kirk, ellsworth, ,, whose, adult, children, lost, their, homes, in, the, fire, ,, shook, his, head, in, disgust, ., my, kids, lost, everything, ., i, voted, for, him, -, and, now, ?, he, can, kiss, my, red, ass, ,]",2018-11-17 23:56:58,,0.0
"[immigrant, pick-up, lineuh, ,, is, that, a, rake, in, your, pantsorare, you, from, finland, ?, #trump, #inners, #woolseyfire, #paradisefire, #campfirepets]",2018-11-17 23:56:58,,1.0
"[president, trump, in, southern, california, ;, touring, woolsey, fire, zone, #woolseyfire, #805strong]",2018-11-17 23:56:51,,1.0
"[camp, fire, /, help, my, sister, &, amp, ;, family]",2018-11-17 23:56:47,,1.0
"[', it's, like, total, devastation, ', :, trump, visits, paradise, lost, by, california, fire, (, usa, today, )]",2018-11-17 23:56:32,,0.0
"[sad, ., we've, reach, our, milestone, in, a, way, also, ., :, (]",2018-11-17 23:56:25,,0.0
"[i, also, follow, pdx, out, of, curiosity, (, gotta, make, sure, mom, is, ok, ), and, california, ,, because, goddamn, ., mask, up, and, stay, safe, ,, friends, ., #campfire]",2018-11-17 23:56:02,,1.0
"[its, saturday, and, groundhog, day, (, movie, ), just, a, sign, ., no, explanation, ., well, that, answers, that, question, ., not, today, ..., #therockstore, #saatchiartist, #nottoday, #woolseyfire, #cornellwinery, ...]",2018-11-17 23:55:47,,1.0
"[trump, tours, california, wildfire, devastation, ,, blames, everything, but, climate, change, via]",2018-11-17 23:55:41,,1.0
"[california, fire, :, if, you, stay, ,, you're, dead, ., how, a, paradise, nursing, home, evacuated]",2018-11-17 23:55:36,,0.0
"[my, _academy, ss, raised, over, $, 100, for, the, families, in, paradise, ,, ca, effected, by, the, #campfire, ., my, ss, not, only, have, a, big, mind, but, also, a, big, heart, ., we, are, thinking, of, you, in, this, time, of, need, ., ty]",2018-11-17 23:55:33,,0.0
"[scott, ,, only, if, you, ignore, the, fact, that, the, camp, fire, started, in, the, plumas, national, forest, !, i'll, repeat, that, so, you, can, see, the, words, national, forest, ..., plumas, national, forest, !, didn't, say, socal, ,, he, said, in, california, !, !, !]",2018-11-17 23:55:21,,1.0
"[many, wildfire, survivors, too, busy, seeking, help, to, watch, trump]",2018-11-17 23:55:18,,1.0
"[#campfire, #charitystream, is, happening, now, ., please, come, stop, by, ., if, you, can, donate, ,, do, ,, if, you, can't, ,, just, being, here, for, a, few, minutes, is, enough, ,, or, liking, this, photo, or, retweet, my, tweet, ., donate, here]",2018-11-17 23:55:14,,1.0
"[pvphs, panthers, looking, for, leadership, opportunities, ?, make, your, own, ., lead, the, way, ., thousands, of, displaced, families, in, so, cal, and, norcal, .]",2018-11-17 23:55:01,,0.0
"[cowboy, 911, has, been, awesome, !, #campfirejameswoods, #campfire, #campfirepets, #paradise, #paradisefires, #paradisestrong, #californiafires, #californiawildfires, #cafires, #buttecounty, #buttecountyfire, #buttecountystrong, #chico]",2018-11-17 23:54:55,,1.0
